loan_id,customer_id,loan_amount,interest_rate,term_months,start_date,status
55,2176,8270000,5.39,36,2024-08-31,정상
56,9196,6600000,5.04,36,2024-02-07,정상
57,8205,1570000,5.05,12,2024-10-16,정상
58,6698,85200000,5.26,60,2024-01-20,완료
59,7548,80080000,5.18,60,2024-08-04,정상
60,316,1720000,5.4,12,2024-04-28,연체
61,4361,1520000,5.5,24,2024-08-23,완료
62,7471,730000,5.09,6,2023-03-19,연체
63,8100,6120000,4.85,36,2024-07-05,연체
64,9368,3740000,5.23,12,2024-11-04,정상
65,2845,730000,6.22,6,2024-09-14,정상
66,1155,730000,5.58,24,2024-01-27,정상
67,2027,58000000,4.75,36,2023-09-09,정상
68,3673,7550000,4.87,24,2023-04-29,정상
69,30,2900000,5.13,24,2023-05-16,연체
70,4569,9220000,4.29,24,2023-06-03,정상
71,3087,730000,6.48,24,2024-06-22,정상
72,9389,7010000,4.75,36,2024-08-06,완료
73,2918,4580000,5.26,12,2024-04-01,정상
74,4431,730000,5.37,6,2024-08-12,연체
75,265,4020000,4.45,36,2024-07-09,정상
76,8997,10610000,5.11,36,2023-06-29,정상
77,2758,2810000,5.38,6,2023-09-18,정상
78,2448,5300000,3.87,12,2023-11-20,정상
79,9252,1090000,6.12,24,2023-05-14,완료
80,97,730000,5.75,24,2023-10-16,정상
81,8898,108250000,5.95,36,2023-03-13,정상
82,703,1020000,5.81,24,2024-01-17,연체
83,57,730000,6.01,12,2024-03-14,연체
84,3065,7290000,4.56,24,2024-10-03,완료
85,9422,730000,6.07,24,2024-11-13,연체
86,3892,16630000,4.61,12,2024-06-30,완료
87,8597,13020000,4.95,24,2024-07-08,정상
88,678,730000,5.89,6,2024-09-13,완료
89,5702,2190000,5.02,24,2023-01-26,정상
90,341,4840000,4.94,12,2024-03-09,정상
91,7643,730000,5.18,12,2024-12-30,정상
92,9050,22750000,4.62,36,2024-08-12,정상
93,5338,1440000,5.99,12,2024-10-22,연체
94,5604,67710000,6.15,36,2024-09-28,정상
95,6806,730000,5.16,12,2024-12-19,정상
96,2754,18780000,4.42,12,2023-06-03,정상
97,6023,1060000,5.27,24,2024-08-30,연체
98,9916,2130000,4.77,12,2023-12-23,정상
99,2218,1320000,5.78,24,2023-10-20,정상
100,1191,87440000,5.06,24,2024-11-25,정상
101,5729,730000,5.92,24,2023-02-13,연체
102,1937,730000,5.01,24,2023-11-17,연체
103,3360,730000,5.31,12,2023-11-13,정상
104,3168,950000,4.8,24,2023-10-15,정상
105,3600,730000,6.02,12,2024-05-12,연체
106,6426,730000,5.82,6,2023-12-04,완료
107,4020,1710000,5.64,6,2023-08-30,정상
108,6880,730000,5.73,12,2024-11-09,연체
109,671,810000,5.54,24,2023-05-22,정상
110,8779,900000,5.75,6,2024-01-19,정상
111,460,15620000,4.64,36,2023-12-02,정상
112,7675,32970000,4.76,24,2024-12-02,정상
113,1713,2060000,5.49,12,2023-09-04,정상
114,932,40060000,5.21,24,2024-09-27,완료
115,4287,3300000,4.99,12,2023-07-09,정상
116,8944,7480000,4.71,24,2024-11-08,정상
117,2053,730000,5.33,12,2023-02-11,정상
118,8916,730000,6.07,6,2024-10-03,연체
119,1231,1240000,5.12,6,2023-06-20,연체
120,1380,850000,5.23,24,2024-09-15,연체
121,3148,890000,5.36,6,2024-08-16,정상
122,1259,1490000,4.45,24,2023-04-15,정상
123,1126,8520000,5.43,24,2023-07-27,정상
124,8729,810000,5.26,12,2024-07-22,정상
125,9891,4670000,4.5,12,2023-11-12,정상
126,8052,16880000,4.77,36,2024-10-28,정상
127,2225,2100000,5.7,12,2024-01-25,정상
128,2948,1100000,5.65,12,2024-04-22,정상
129,9720,730000,5.8,24,2024-03-25,정상
130,9606,730000,6.31,12,2023-11-14,연체
131,5603,1150000,5.32,12,2023-09-12,정상
132,276,21100000,4.95,24,2024-10-16,정상
133,7221,770000,6.03,24,2024-09-09,연체
134,5579,15100000,5.27,24,2023-12-31,정상
135,6685,730000,5.29,6,2024-07-27,정상
136,3317,15650000,4.43,12,2023-04-06,정상
137,4181,730000,5.34,6,2024-02-10,정상
138,596,15580000,4.93,24,2024-12-30,정상
139,3259,12320000,4.96,24,2023-05-21,정상
140,6259,16870000,4.31,24,2024-09-17,정상
141,4457,1390000,4.62,6,2024-03-22,정상
142,9303,8520000,5.15,36,2024-01-07,정상
143,4204,108250000,5.58,36,2024-02-24,정상
144,6738,2640000,5.09,24,2023-05-19,정상
145,746,1220000,5.38,6,2023-08-02,연체
146,3250,1610000,5.98,24,2024-04-07,완료
147,7687,790000,5.49,6,2024-07-04,완료
148,4378,5910000,5.12,12,2024-06-26,정상
149,3640,1100000,6.48,12,2024-06-11,정상
150,9033,730000,5.39,24,2024-11-30,정상
151,4071,730000,5.76,12,2024-05-05,정상
152,5135,730000,6.34,12,2023-11-27,연체
153,9977,1190000,4.74,12,2023-03-06,정상
154,7941,730000,5.7,6,2023-09-12,정상
155,9721,2670000,4.99,24,2023-03-28,정상
156,6670,1330000,5.75,24,2024-10-17,정상
157,2484,9080000,4.75,12,2023-04-24,정상
158,4392,12290000,5.59,24,2024-12-09,완료
159,5125,2460000,5.26,24,2024-01-29,정상
160,9516,1150000,5.89,6,2023-03-11,정상
161,3047,930000,4.97,24,2024-06-29,정상
162,4511,730000,5.95,12,2024-12-21,연체
163,6663,15870000,4.44,24,2023-09-13,정상
164,3269,2390000,4.71,12,2024-12-30,정상
165,7593,730000,6.22,24,2023-07-08,연체
166,3322,27530000,4.5,60,2023-07-29,정상
167,2696,5500000,5.19,12,2024-02-14,완료
168,7385,860000,5.85,24,2024-02-05,정상
169,9730,730000,5.04,24,2024-04-19,연체
170,1490,4810000,4.81,12,2024-11-29,정상
171,7304,17620000,5.27,24,2023-02-01,완료
172,3165,4240000,4.87,24,2023-11-22,정상
173,1019,900000,5.36,24,2024-09-20,정상
174,7249,33500000,5.28,24,2023-04-29,완료
175,7934,11110000,5.22,12,2024-06-22,정상
176,8503,4020000,4.64,12,2024-03-15,정상
177,452,2450000,5.1,6,2023-06-26,정상
178,2449,2820000,4.71,6,2023-04-20,완료
179,5765,2580000,5.12,6,2024-04-05,정상
180,4932,2580000,4.75,6,2023-01-17,정상
181,3313,730000,5.97,6,2024-05-11,정상
182,2024,5340000,4.69,36,2024-04-21,정상
183,6139,5300000,5.03,12,2024-03-23,정상
184,6215,1490000,5.47,6,2023-05-08,정상
185,9791,4120000,5.73,12,2024-08-12,연체
186,4794,4940000,4.57,36,2023-04-19,정상
187,9768,108250000,4.8,24,2024-01-24,정상
188,8625,3080000,4.35,36,2024-06-24,정상
189,5022,2300000,5.5,12,2024-05-19,정상
190,5268,108250000,5.15,36,2023-12-14,정상
191,5754,730000,5.36,24,2024-08-12,연체
192,6817,41830000,5.19,60,2023-10-20,정상
193,298,1400000,4.91,12,2024-03-18,완료
194,2343,730000,5.82,24,2024-06-12,정상
195,9282,11330000,4.63,12,2023-08-02,정상
196,3860,108250000,5.85,36,2023-02-17,정상
197,824,21120000,4.59,24,2024-07-15,연체
198,4384,10820000,4.44,36,2024-05-19,정상
199,2867,900000,6.39,12,2024-06-28,연체
200,7389,920000,5.65,24,2023-11-26,정상
201,154,4080000,4.72,12,2024-03-18,정상
202,6372,1160000,5.07,12,2024-06-13,연체
203,9537,730000,5.3,24,2023-04-17,연체
204,6604,730000,5.67,12,2023-11-01,연체
205,5084,730000,5.23,12,2023-01-01,연체
206,3618,30200000,4.57,60,2023-01-31,정상
207,6523,730000,6.13,12,2024-01-15,연체
208,8139,4080000,5.05,36,2023-03-23,완료
209,9025,33960000,4.83,36,2023-10-31,정상
210,3094,2400000,4.88,12,2023-11-20,완료
211,3692,108250000,4.99,60,2024-11-07,정상
212,569,2560000,5.3,24,2023-10-28,정상
213,5750,34050000,4.9,24,2024-09-30,정상
214,5941,2760000,4.91,24,2024-01-21,완료
215,2174,1200000,5.07,24,2023-05-30,연체
216,8593,830000,5.41,6,2023-04-08,정상
217,1069,18690000,4.4,24,2024-10-04,정상
218,3065,9340000,4.83,24,2023-10-02,정상
219,593,2810000,4.91,12,2024-10-22,연체
220,2563,730000,5.51,24,2023-10-26,정상
221,6343,730000,5.29,6,2024-06-21,정상
222,7401,1440000,6.18,24,2023-10-12,정상
223,4105,730000,5.31,12,2023-12-06,정상
224,2465,730000,5.49,24,2023-02-03,연체
225,1663,780000,5.39,6,2023-06-05,연체
226,654,12940000,5.0,36,2023-11-11,정상
227,2738,7650000,4.18,36,2024-03-18,정상
228,5447,730000,5.72,6,2023-09-05,정상
229,5038,730000,5.41,12,2024-12-28,정상
230,1832,730000,5.92,12,2024-11-24,연체
231,5774,900000,5.85,6,2023-10-15,정상
232,9455,730000,5.75,6,2023-08-31,정상
233,8897,2970000,5.56,6,2024-02-24,정상
234,7243,5000000,4.41,24,2023-05-01,정상
235,4299,52880000,4.28,60,2023-12-19,정상
236,1371,2540000,4.89,12,2023-02-20,정상
237,6220,730000,6.08,12,2024-10-14,완료
238,5295,1190000,4.05,6,2024-01-28,정상
239,2047,950000,5.75,12,2023-06-24,연체
240,2314,1860000,5.73,12,2023-02-19,정상
241,8042,108250000,4.95,60,2023-05-08,정상
242,5979,6290000,5.01,12,2023-10-07,정상
243,4477,8880000,4.86,36,2023-06-21,완료
244,2567,1620000,5.19,24,2023-06-10,연체
245,4209,7040000,4.72,12,2023-10-27,정상
246,2608,730000,5.92,6,2023-04-18,정상
247,790,730000,6.47,24,2024-03-28,완료
248,3050,800000,5.35,6,2024-07-26,정상
249,1561,29510000,4.19,36,2023-11-02,정상
250,1623,730000,5.37,24,2023-08-12,완료
251,6041,730000,5.59,6,2024-09-23,정상
252,47,8440000,4.95,24,2024-08-30,완료
253,5178,1480000,5.44,12,2023-06-30,정상
254,767,2190000,5.24,12,2024-12-17,완료
255,4781,5910000,4.42,12,2023-05-24,정상
256,3902,4440000,4.92,24,2024-03-12,정상
257,2916,730000,6.31,24,2023-05-29,연체
258,4933,108250000,5.46,60,2023-10-04,완료
259,8021,3840000,5.12,24,2023-09-09,정상
260,2880,730000,5.28,6,2023-07-05,연체
261,6304,7230000,5.0,24,2023-02-27,정상
262,1692,730000,5.86,12,2024-04-27,완료
263,9964,2110000,4.79,12,2024-09-03,연체
264,1794,1780000,4.99,24,2023-06-30,정상
265,9287,730000,5.4,24,2024-09-23,연체
266,2926,8350000,4.14,36,2024-04-06,완료
267,5458,1970000,5.51,12,2023-08-06,정상
268,5229,5430000,5.25,12,2024-06-14,정상
269,2940,84350000,5.77,36,2023-07-23,정상
270,4587,2680000,5.29,24,2024-07-28,정상
271,543,108250000,5.69,36,2024-01-19,정상
272,5887,45040000,4.59,24,2024-06-08,정상
273,5240,7290000,5.19,12,2023-12-23,완료
274,9067,870000,5.68,24,2024-04-30,연체
275,3571,730000,5.23,24,2024-02-03,연체
276,5721,730000,6.06,6,2023-09-11,정상
277,3401,108250000,5.68,36,2024-03-01,정상
278,4079,12290000,5.08,36,2023-06-24,완료
279,7226,11000000,4.22,24,2023-09-24,정상
280,8730,730000,5.74,24,2023-09-19,연체
281,9252,730000,5.41,24,2024-07-16,연체
282,216,1020000,6.02,12,2023-03-27,연체
283,9656,730000,6.13,6,2023-11-24,완료
284,7324,900000,5.09,24,2024-11-15,정상
285,5175,1150000,5.22,24,2023-11-18,정상
286,6242,5420000,4.97,36,2023-04-03,완료
287,5126,2200000,5.01,24,2023-02-28,정상
288,5695,4380000,4.49,12,2024-08-04,정상
289,5157,8410000,5.09,12,2023-05-15,연체
290,7351,2220000,5.25,24,2023-11-15,정상
291,8502,35990000,5.1,60,2024-01-04,정상
292,1583,4350000,5.27,24,2023-02-20,정상
293,5309,730000,4.82,12,2023-06-24,정상
294,9548,730000,5.24,24,2023-09-01,정상
295,4195,730000,5.66,6,2024-09-03,정상
296,1228,730000,5.14,24,2023-02-07,연체
297,330,39780000,5.41,60,2023-11-07,정상
298,9534,51850000,4.75,24,2023-11-10,정상
299,8231,14500000,4.4,36,2023-08-29,완료
300,2978,6910000,4.71,36,2023-08-04,정상
301,8050,2440000,5.66,6,2023-09-10,정상
302,5460,6560000,5.29,24,2024-05-07,정상
303,7110,730000,5.23,6,2024-08-02,정상
304,7636,3480000,5.05,36,2024-01-15,정상
305,5869,1120000,4.69,12,2024-02-01,정상
306,7291,1520000,5.62,12,2023-06-22,정상
307,973,3340000,4.97,12,2023-07-20,정상
308,4042,4950000,4.99,36,2024-10-09,정상
309,8086,7640000,3.96,12,2024-09-18,정상
310,7017,1820000,5.52,24,2023-07-14,정상
311,3349,730000,6.21,6,2023-07-07,연체
312,3341,13460000,5.62,24,2023-01-31,정상
313,4622,7350000,4.85,36,2023-09-19,정상
314,2900,1780000,5.62,24,2024-08-14,정상
315,5646,2030000,5.23,6,2024-02-27,정상
316,2479,730000,5.27,12,2024-08-11,정상
317,198,1020000,5.62,6,2024-03-13,정상
318,395,1110000,5.05,12,2024-10-15,연체
319,7392,102990000,5.08,36,2023-01-16,정상
320,3860,108250000,6.27,24,2023-01-27,정상
321,4305,18680000,4.94,24,2024-04-27,정상
322,3322,49380000,5.37,60,2024-02-10,정상
323,3071,940000,6.0,24,2023-12-02,정상
324,1798,3410000,4.58,24,2023-08-27,정상
325,6470,18690000,4.44,36,2024-12-31,정상
326,7301,730000,5.87,6,2024-12-15,연체
327,4338,1250000,5.09,24,2023-02-22,완료
328,186,9770000,5.3,12,2024-07-07,정상
329,2333,108250000,5.7,60,2024-02-22,정상
330,6684,7490000,4.61,36,2023-08-21,정상
331,347,730000,5.65,12,2023-07-19,연체
332,9786,730000,5.7,6,2023-02-11,연체
333,4295,10830000,4.64,24,2023-10-02,정상
334,3988,730000,5.36,6,2024-08-10,연체
335,4233,730000,6.3,24,2023-09-04,연체
336,6267,7390000,5.15,24,2024-03-17,연체
337,189,3970000,4.81,12,2023-04-07,정상
338,509,730000,5.25,6,2023-04-07,정상
339,6627,16800000,5.01,36,2024-12-04,정상
340,3562,108250000,5.93,60,2023-06-05,완료
341,1748,730000,5.74,6,2024-05-09,연체
342,7660,730000,6.04,24,2023-05-10,연체
343,8602,2030000,5.97,6,2024-09-02,연체
344,1548,6510000,5.04,36,2023-08-24,정상
345,1032,25170000,4.42,24,2023-03-23,정상
346,5131,730000,5.4,6,2023-10-10,정상
347,3118,730000,6.74,6,2023-02-05,정상
348,939,19420000,4.49,12,2023-10-29,정상
349,4485,1920000,5.06,12,2024-11-20,정상
350,8615,2080000,4.57,12,2023-05-14,정상
351,548,8930000,4.88,12,2023-05-20,정상
352,1451,13190000,5.18,12,2024-06-18,정상
353,5937,13110000,4.12,12,2024-03-07,정상
354,8989,14070000,5.31,24,2024-07-05,정상
355,2437,730000,6.24,12,2023-07-08,연체
356,3069,6500000,5.18,24,2024-09-25,정상
357,8468,1690000,5.5,24,2024-03-05,정상
358,5788,17310000,4.71,24,2023-09-27,완료
359,4167,108250000,5.11,36,2024-03-31,정상
360,3049,730000,5.45,24,2024-03-16,연체
361,8188,1060000,4.69,24,2024-05-15,정상
362,3169,24810000,5.38,60,2024-02-10,정상
363,6593,730000,6.3,24,2023-02-22,정상
364,1017,2750000,5.06,6,2023-04-13,정상
365,1280,730000,5.45,6,2023-10-23,정상
366,7516,930000,5.32,6,2024-06-30,정상
367,5070,12430000,4.25,24,2024-10-18,완료
368,6414,69680000,4.86,36,2024-06-05,정상
369,6607,7540000,5.32,36,2024-10-28,연체
370,8551,910000,5.45,6,2023-08-26,정상
371,5454,6130000,4.64,12,2024-10-12,완료
372,548,5070000,4.26,24,2023-11-19,정상
373,3118,730000,5.52,24,2023-08-05,연체
374,7446,2850000,4.52,24,2023-02-28,정상
375,7952,108250000,5.87,24,2023-07-16,정상
376,9817,1130000,5.16,24,2023-08-18,정상
377,7274,2270000,5.27,12,2023-06-15,정상
378,1957,1430000,5.54,12,2023-07-15,정상
379,7877,6340000,5.17,36,2024-10-21,정상
380,4538,730000,5.51,6,2024-04-02,정상
381,9731,70210000,5.49,60,2023-11-05,정상
382,9387,730000,5.78,12,2024-12-03,연체
383,4441,730000,6.28,12,2023-06-18,완료
384,8510,780000,5.51,6,2023-05-30,완료
385,83,730000,6.39,6,2023-11-29,연체
386,454,4720000,4.82,24,2024-02-23,정상
387,3490,730000,5.55,6,2023-02-07,정상
388,6616,12320000,5.49,12,2024-05-01,정상
389,5805,910000,5.52,6,2024-11-18,정상
390,3901,4000000,5.44,12,2023-12-02,정상
391,6074,6400000,4.64,24,2023-03-11,정상
392,8462,3430000,5.35,12,2023-04-21,연체
393,2464,18730000,4.97,36,2023-06-30,완료
394,8551,730000,5.67,6,2024-11-19,완료
395,2948,1780000,5.1,24,2024-10-08,정상
396,3789,43520000,5.41,24,2023-06-20,정상
397,1284,18030000,5.15,12,2023-11-21,정상
398,8490,730000,5.93,24,2023-07-11,정상
399,680,730000,6.12,6,2023-12-24,연체
400,9712,1610000,5.41,6,2024-09-21,정상
401,1302,730000,4.93,12,2023-05-23,연체
402,4201,730000,5.42,6,2023-12-08,정상
403,2596,730000,5.83,24,2023-03-12,완료
404,86,810000,5.3,6,2023-10-14,정상
405,4467,1240000,6.06,12,2023-05-05,연체
406,3891,12840000,5.33,12,2024-02-26,정상
407,530,12900000,4.7,24,2023-03-01,정상
408,8431,800000,5.38,12,2023-07-28,정상
409,2202,730000,5.86,24,2023-12-10,연체
410,1402,730000,6.02,6,2023-11-09,연체
411,6057,19120000,4.75,36,2023-01-18,정상
412,5509,42870000,4.57,36,2024-05-31,정상
413,2510,780000,5.83,6,2024-02-06,완료
414,1603,4040000,5.4,24,2023-01-09,완료
415,6016,21100000,4.82,36,2024-02-02,정상
416,8280,730000,5.01,24,2023-12-29,완료
417,8370,11100000,4.48,36,2023-09-02,정상
418,2314,3100000,5.64,24,2024-12-08,완료
419,1454,730000,5.28,6,2024-04-15,완료
420,8221,860000,5.24,12,2023-10-01,정상
421,6792,3750000,5.0,12,2023-05-20,정상
422,65,21240000,5.21,24,2024-10-21,정상
423,8200,37940000,5.3,36,2023-08-22,정상
424,7676,730000,6.24,12,2023-12-18,완료
425,7503,4970000,4.69,36,2023-07-07,정상
426,4099,7560000,4.02,36,2024-01-23,정상
427,31,730000,5.39,6,2024-05-28,정상
428,2700,7770000,4.47,36,2024-04-07,정상
429,8016,1950000,5.99,6,2023-09-03,정상
430,8990,890000,5.06,6,2023-12-05,정상
431,6299,5820000,5.3,36,2024-05-15,정상
432,8824,840000,5.39,12,2023-01-03,정상
433,5783,730000,6.07,6,2023-05-20,연체
434,4128,730000,5.4,12,2024-09-16,정상
435,9592,1990000,5.65,24,2024-12-18,연체
436,8354,2370000,5.17,12,2023-12-02,정상
437,7184,1190000,5.69,12,2023-03-15,정상
438,3570,87050000,6.04,60,2023-05-26,정상
439,5203,29960000,4.71,36,2024-01-20,정상
440,1052,890000,5.31,24,2023-04-13,연체
441,5054,1320000,4.8,24,2024-04-12,정상
442,7558,3510000,3.92,36,2024-10-05,정상
443,1319,730000,5.23,12,2024-06-19,완료
444,9047,2310000,4.75,24,2024-12-23,정상
445,9311,730000,5.49,24,2023-06-12,연체
446,4941,730000,4.89,6,2024-12-08,정상
447,8521,1490000,5.29,24,2023-11-29,연체
448,2339,1120000,5.81,12,2024-07-19,정상
449,653,9020000,4.84,24,2024-04-10,정상
450,2609,108250000,5.01,60,2023-01-28,정상
451,8617,2040000,5.46,12,2024-11-27,정상
452,3809,102450000,5.71,24,2024-05-17,정상
453,1437,730000,6.3,24,2024-06-20,연체
454,7349,730000,5.97,6,2024-10-31,연체
455,7816,1450000,5.78,24,2023-08-19,정상
456,9569,870000,5.69,6,2023-04-07,연체
457,8618,730000,5.27,12,2023-08-09,완료
458,218,730000,5.88,12,2023-03-14,정상
459,288,730000,5.71,6,2023-02-13,완료
460,2074,7790000,5.41,12,2023-01-08,연체
461,5096,730000,5.32,6,2023-01-02,연체
462,795,730000,5.16,24,2023-10-22,정상
463,6854,770000,5.55,6,2023-02-24,정상
464,500,6710000,5.37,36,2023-03-16,완료
465,3126,53430000,4.44,60,2023-05-01,완료
466,6114,1910000,5.38,6,2024-08-28,연체
467,8680,1020000,5.61,24,2023-01-24,정상
468,5443,108250000,5.59,60,2024-07-19,완료
469,3978,730000,5.3,24,2023-07-16,연체
470,6284,33230000,4.84,36,2024-06-22,정상
471,286,30080000,4.43,36,2024-04-22,정상
472,9041,730000,5.97,12,2023-05-24,정상
473,2154,2640000,5.05,12,2023-01-20,완료
474,5804,730000,5.44,24,2024-11-05,연체
475,507,1800000,5.69,12,2023-12-20,연체
476,1783,3510000,5.48,12,2024-01-24,정상
477,5260,6630000,5.55,24,2023-11-05,정상
478,6387,3370000,5.1,24,2023-01-20,정상
479,11,2100000,5.63,12,2023-10-27,정상
480,3108,730000,5.78,24,2023-02-10,정상
481,9190,20360000,5.23,36,2024-05-31,정상
482,1840,33230000,5.29,60,2023-03-18,정상
483,5354,105690000,5.85,36,2023-09-23,정상
484,8747,730000,5.66,24,2023-06-17,정상
485,9888,5100000,4.56,12,2024-11-05,정상
486,1510,3020000,4.74,24,2023-02-11,완료
487,9197,730000,5.17,12,2023-05-22,연체
488,9890,770000,5.24,12,2024-10-20,정상
489,6211,5180000,5.63,24,2024-06-04,정상
490,1116,9530000,5.28,36,2023-10-27,정상
491,3026,29010000,5.63,24,2023-08-28,정상
492,1011,730000,5.38,24,2024-08-17,연체
493,2581,2170000,5.66,24,2023-11-09,연체
494,8760,1900000,5.39,6,2024-05-30,정상
495,3352,730000,6.48,24,2023-07-14,연체
496,2776,4500000,5.03,24,2023-05-03,정상
497,3718,730000,5.65,12,2023-12-20,정상
498,8976,730000,6.14,24,2023-06-21,연체
499,8825,7020000,4.23,36,2024-05-05,정상
500,6483,108250000,5.91,24,2024-07-04,정상
501,2032,108250000,5.37,60,2024-08-26,정상
502,1379,18620000,4.38,36,2023-11-18,정상
503,2464,69550000,6.4,24,2023-03-07,정상
504,2986,4130000,5.13,36,2024-05-20,정상
505,2361,730000,5.4,24,2024-08-08,연체
506,3573,6010000,5.28,12,2023-04-11,완료
507,8064,730000,5.27,24,2023-11-13,연체
508,7920,750000,6.24,24,2024-04-28,정상
509,6470,9090000,5.13,36,2023-05-30,정상
510,9248,8180000,4.81,36,2023-06-02,정상
511,6846,6430000,5.31,24,2024-12-10,정상
512,6024,730000,5.71,6,2024-09-06,완료
513,7545,18540000,5.52,36,2023-05-06,완료
514,722,730000,5.42,12,2023-05-13,정상
515,7220,960000,4.85,24,2024-12-22,정상
516,1951,730000,6.12,24,2023-08-28,연체
517,7545,8660000,4.75,12,2024-11-11,정상
518,5631,25950000,4.65,60,2024-03-30,정상
519,7000,6010000,4.81,12,2023-06-10,정상
520,8656,730000,6.22,24,2024-10-12,연체
521,4009,108250000,5.57,60,2023-02-25,정상
522,162,2060000,4.79,24,2023-07-28,정상
523,7755,730000,5.49,6,2023-01-23,연체
524,2547,730000,6.03,24,2024-11-09,정상
525,8311,7620000,4.29,24,2024-06-27,정상
526,9849,67820000,5.65,60,2023-11-17,정상
527,100,3150000,4.93,24,2024-05-08,정상
528,8632,1570000,5.14,24,2024-08-29,정상
529,637,730000,6.09,12,2023-12-11,연체
530,3490,730000,5.59,12,2024-09-28,연체
531,9636,730000,5.5,6,2024-03-03,연체
532,4892,1390000,4.39,6,2023-10-29,정상
533,5313,730000,6.61,6,2023-07-08,연체
534,8600,36560000,4.36,60,2024-09-01,완료
535,1882,2850000,4.47,24,2024-12-25,정상
536,2674,4120000,5.01,36,2024-08-02,정상
537,8341,4470000,4.97,24,2023-03-07,연체
538,3499,880000,5.44,24,2023-04-14,정상
539,3427,730000,6.1,12,2023-06-28,정상
540,5956,5410000,5.12,36,2023-06-17,정상
541,6703,3140000,5.06,24,2024-07-22,정상
542,9269,730000,5.38,6,2024-06-02,연체
543,5909,1100000,5.63,6,2023-04-12,정상
544,2048,11990000,5.32,36,2024-07-12,정상
545,5955,1750000,5.47,12,2023-05-20,정상
546,7462,1090000,5.33,12,2024-03-27,정상
547,1011,730000,5.94,6,2023-12-17,정상
548,5266,5000000,5.2,12,2023-08-25,연체
549,9893,3940000,5.29,12,2023-02-12,정상
550,9380,75030000,4.54,60,2023-07-15,정상
551,1010,2110000,4.75,24,2024-05-10,정상
552,733,3830000,4.51,36,2024-06-21,정상
553,5403,730000,5.84,12,2024-06-12,연체
554,4503,8020000,4.77,36,2024-01-21,정상
555,7184,1460000,5.3,24,2023-08-06,연체
556,3185,1910000,4.9,6,2023-01-12,연체
557,5812,4200000,5.02,24,2023-05-22,정상
558,3678,730000,5.7,12,2023-03-19,정상
559,9989,730000,5.49,12,2024-07-04,연체
560,3835,4590000,4.92,12,2023-02-12,정상
561,4556,5490000,4.35,36,2024-03-14,정상
562,594,55080000,5.64,60,2023-02-19,정상
563,5523,108250000,4.7,24,2024-05-13,정상
564,1715,730000,5.91,12,2024-05-23,연체
565,6874,13440000,5.14,12,2023-04-05,정상
566,8178,96520000,5.66,60,2023-09-23,정상
567,2789,1480000,4.95,12,2023-11-28,연체
