transaction_id,customer_id,card_id,amount,transaction_date,status,channel,category
54,1209,21,67296,2024-12-21,paid,offline,문화
55,3777,32,45424,2024-09-27,paid,mobile,외식
56,2193,48,38878,2024-09-23,cancel,offline,쇼핑
57,3385,44,57565,2024-05-17,paid,mobile,패션
58,9926,20,57425,2024-11-03,paid,online,의료
59,2306,22,237377,2024-07-12,paid,mobile,여행
60,9998,2,104950,2024-12-11,paid,offline,교육
61,8650,3,9583,2024-10-17,paid,mobile,식품
62,22,10,14209,2024-07-07,paid,mobile,외식
63,9060,19,139658,2024-03-16,paid,offline,패션
64,7919,31,189469,2024-08-09,paid,offline,여행
65,5980,48,128636,2024-12-18,paid,online,교육
66,160,20,54932,2024-11-30,paid,online,외식
67,6859,17,120271,2024-03-21,paid,offline,여행
68,9187,3,58007,2024-05-06,paid,mobile,외식
69,8771,24,26127,2024-09-08,paid,online,외식
70,6961,41,42120,2024-06-02,paid,offline,가전
71,3105,35,61639,2024-04-05,paid,offline,교육
72,7484,45,184487,2024-06-19,paid,offline,가전
73,6539,2,76871,2024-05-24,paid,mobile,주유
74,1757,49,64639,2024-01-25,paid,mobile,여행
75,8618,33,6112,2024-09-01,paid,mobile,외식
76,8064,36,43186,2024-10-13,paid,online,문화
77,5750,47,57162,2024-10-12,paid,online,의료
78,6407,47,33385,2024-05-08,paid,mobile,문화
79,9287,33,37537,2024-06-19,paid,online,교육
80,8873,16,532496,2024-06-07,paid,online,여행
81,343,45,43816,2024-03-22,paid,offline,문화
82,5725,49,20048,2024-10-15,paid,mobile,쇼핑
83,2827,22,196985,2024-04-27,cancel,online,여행
84,1390,44,85115,2024-02-25,paid,offline,여행
85,1918,7,148920,2024-08-14,paid,offline,외식
86,9899,32,163440,2024-11-18,paid,online,여행
87,1555,22,36125,2024-03-07,paid,offline,주유
88,3839,42,63036,2024-06-18,paid,mobile,문화
89,7630,18,56981,2024-12-01,paid,mobile,문화
90,270,25,17726,2024-11-03,paid,online,식품
91,5518,7,122422,2024-06-21,paid,offline,가전
92,5883,10,26682,2024-01-28,paid,offline,외식
93,1790,45,8026,2024-07-26,paid,online,주유
94,1575,3,82971,2024-11-08,paid,mobile,가전
95,2748,17,50196,2024-07-17,paid,offline,교육
96,1212,39,220305,2024-02-24,paid,offline,패션
97,9684,29,17171,2024-03-15,paid,offline,주유
98,1160,50,69163,2024-12-17,paid,mobile,문화
99,6937,26,13842,2024-01-04,paid,online,쇼핑
100,1643,32,19925,2024-02-16,paid,online,문화
101,3419,5,7595,2024-08-17,paid,online,주유
102,9376,3,56512,2024-09-21,paid,mobile,여행
103,1854,31,105470,2024-09-19,paid,online,패션
104,7719,8,104898,2024-09-25,paid,mobile,가전
105,3814,12,13527,2024-01-16,paid,offline,패션
106,5942,23,36679,2024-01-13,paid,mobile,패션
107,2637,33,431233,2024-12-06,paid,mobile,가전
108,4904,3,20073,2024-05-03,paid,offline,의료
109,380,35,49551,2024-03-21,paid,online,쇼핑
110,1892,36,67171,2024-02-01,paid,online,가전
111,6390,25,57514,2024-10-12,paid,mobile,식품
112,4130,21,72433,2024-04-10,paid,mobile,교육
113,1433,44,6026,2024-05-16,paid,mobile,식품
114,5942,26,33932,2024-02-18,cancel,mobile,교육
115,7940,11,49377,2024-06-30,paid,online,주유
116,3766,1,281122,2024-04-08,paid,mobile,여행
117,4698,23,171714,2024-10-18,cancel,online,가전
118,4466,50,169869,2024-03-28,paid,offline,의료
119,7795,35,68046,2024-06-17,paid,mobile,교육
120,95,22,78467,2024-11-10,paid,offline,쇼핑
121,9930,1,16112,2024-05-20,paid,offline,의료
122,1551,33,229894,2024-07-08,paid,offline,가전
123,610,26,31190,2024-11-01,paid,mobile,교육
124,9581,28,50104,2024-09-25,paid,online,쇼핑
125,8698,31,43990,2024-09-18,refund,offline,쇼핑
126,3126,23,127427,2024-01-11,paid,online,의료
127,6364,4,23314,2024-06-19,refund,offline,식품
128,4904,43,33923,2024-03-20,paid,online,패션
129,7818,22,41307,2024-10-26,paid,mobile,식품
130,8842,45,317944,2024-02-01,paid,offline,가전
131,1567,48,14918,2024-02-25,refund,mobile,패션
132,9815,30,103095,2024-10-27,paid,offline,여행
133,2607,21,32391,2024-05-29,paid,mobile,식품
134,3321,16,26473,2024-03-30,paid,offline,외식
135,169,33,11942,2024-04-02,paid,offline,문화
136,6042,26,122780,2024-07-25,paid,online,교육
137,8691,28,19993,2024-03-07,paid,offline,식품
138,3562,50,1002069,2024-06-21,paid,online,가전
139,4141,36,179017,2024-07-27,paid,online,패션
140,5067,5,286460,2024-11-29,cancel,online,교육
141,3214,40,47942,2024-02-22,paid,online,외식
142,3710,4,581212,2024-07-24,paid,online,쇼핑
143,7912,32,13841,2024-06-02,paid,offline,식품
144,1995,37,201126,2024-10-26,paid,online,여행
145,9948,24,21474,2024-12-23,paid,offline,주유
146,1857,20,55070,2024-09-28,paid,offline,패션
147,1758,24,233428,2024-06-26,paid,mobile,쇼핑
148,4781,22,33355,2024-03-19,cancel,mobile,식품
149,4025,19,135234,2024-01-29,paid,offline,여행
150,3237,33,547809,2024-09-19,paid,offline,여행
151,7657,44,11097,2024-12-01,paid,online,외식
152,7248,16,197223,2024-08-24,paid,online,패션
153,8032,22,397683,2024-10-11,paid,mobile,여행
154,3194,14,33147,2024-07-31,paid,offline,패션
155,6544,5,35107,2024-08-06,cancel,mobile,외식
156,8011,19,45947,2024-10-22,paid,mobile,외식
157,8750,48,5749,2024-08-27,paid,offline,식품
158,3893,47,28371,2024-10-17,cancel,offline,교육
159,9023,42,21013,2024-01-04,paid,online,문화
160,8750,5,13913,2024-04-19,paid,offline,외식
161,8251,48,23778,2024-01-24,paid,mobile,외식
162,6724,48,51125,2024-05-23,paid,mobile,의료
163,8359,6,21917,2024-06-24,paid,mobile,외식
164,8007,44,68536,2024-02-06,refund,offline,외식
165,7215,38,40334,2024-09-14,paid,mobile,패션
166,6671,3,21223,2024-06-02,paid,online,문화
167,1363,34,69050,2024-10-10,refund,online,문화
168,5548,35,65013,2024-08-24,paid,mobile,문화
169,6590,29,16615,2024-04-21,paid,offline,식품
170,8403,36,17416,2024-11-25,paid,online,식품
171,5223,22,74563,2024-09-02,paid,mobile,가전
172,8917,32,213192,2024-08-15,cancel,offline,가전
173,2931,3,6565,2024-06-20,paid,offline,주유
174,2808,46,13177,2024-01-18,paid,online,문화
175,4409,2,28701,2024-11-27,refund,mobile,주유
176,7913,37,41002,2024-06-15,paid,mobile,쇼핑
177,8591,45,78349,2024-10-12,cancel,offline,의료
178,1884,17,56755,2024-08-08,paid,offline,패션
179,251,6,122848,2024-10-11,paid,online,가전
180,1155,41,5632,2024-12-10,paid,offline,주유
181,6948,18,63504,2024-09-05,paid,offline,패션
182,2218,5,24088,2024-07-06,paid,online,문화
183,1767,19,139524,2024-01-27,paid,mobile,여행
184,9900,7,64189,2024-08-31,paid,mobile,문화
185,5094,45,8055,2024-03-07,paid,mobile,문화
186,2501,22,218018,2024-12-29,paid,mobile,쇼핑
187,2527,46,81321,2024-06-12,paid,offline,쇼핑
188,2310,8,30542,2024-06-29,paid,offline,쇼핑
189,8646,26,25564,2024-11-11,paid,mobile,주유
190,5577,2,13730,2024-03-08,paid,offline,주유
191,9487,12,8999,2024-07-16,paid,offline,문화
192,8040,6,699139,2024-11-04,cancel,mobile,교육
193,536,44,26671,2024-11-21,paid,offline,패션
194,9989,18,33344,2024-02-14,paid,mobile,교육
195,7891,50,28633,2024-02-01,paid,mobile,외식
196,8360,32,22699,2024-11-01,paid,offline,외식
197,4138,14,22240,2024-02-28,paid,online,식품
198,4583,36,11637,2024-04-02,refund,mobile,주유
199,4464,50,83377,2024-04-20,paid,offline,가전
200,1920,19,109401,2024-05-18,paid,online,쇼핑
201,9167,34,8324,2024-05-17,paid,online,주유
202,2939,30,79386,2024-12-28,paid,online,문화
203,9058,49,115407,2024-06-11,paid,offline,여행
204,4886,9,108827,2024-06-05,paid,mobile,패션
205,9554,37,345517,2024-02-12,paid,mobile,가전
206,126,50,6209,2024-07-27,paid,offline,식품
207,8947,27,116659,2024-12-18,paid,mobile,가전
208,5051,29,68477,2024-02-14,paid,offline,교육
209,6199,8,12057,2024-06-16,paid,offline,외식
210,6631,2,12988,2024-04-04,paid,mobile,외식
211,9691,31,113137,2024-07-23,refund,offline,쇼핑
212,2655,5,127752,2024-09-27,paid,online,가전
213,7419,16,46928,2024-10-11,refund,online,문화
214,4250,6,54485,2024-01-27,paid,online,문화
215,5797,31,43978,2024-08-17,paid,online,식품
216,2571,21,118083,2024-12-10,paid,offline,여행
217,3586,36,70287,2024-06-01,paid,offline,외식
218,2549,48,45654,2024-06-29,paid,mobile,식품
219,6227,24,11083,2024-07-16,paid,mobile,주유
220,6202,10,49403,2024-04-14,paid,mobile,패션
221,777,7,57521,2024-07-22,paid,offline,여행
222,3706,37,57599,2024-07-07,paid,mobile,쇼핑
223,5935,12,29480,2024-07-09,paid,mobile,교육
224,4293,40,424505,2024-01-22,paid,offline,여행
225,5371,3,40558,2024-04-10,paid,mobile,외식
226,4982,14,110724,2024-12-19,paid,online,교육
227,5328,15,32527,2024-04-14,paid,offline,의료
228,8456,23,18716,2024-11-29,paid,online,주유
229,873,18,119206,2024-07-08,paid,online,교육
230,3633,34,58165,2024-12-28,cancel,offline,외식
231,1239,13,135168,2024-12-30,paid,offline,쇼핑
232,9035,18,72605,2024-12-03,paid,online,문화
233,2710,41,50644,2024-12-08,paid,offline,교육
234,8930,49,21838,2024-02-01,paid,online,식품
235,1681,37,23385,2024-07-04,paid,offline,식품
236,9158,38,42163,2024-09-30,paid,online,식품
237,9437,5,48593,2024-09-01,refund,offline,쇼핑
238,9062,3,220799,2024-06-01,paid,online,문화
239,7683,41,42601,2024-08-15,paid,mobile,외식
240,3926,4,33302,2024-01-20,paid,online,외식
241,6145,41,7085,2024-03-20,paid,offline,식품
242,4459,43,19397,2024-08-30,paid,mobile,패션
243,2993,45,68948,2024-01-30,paid,mobile,패션
244,1301,46,89793,2024-03-27,paid,online,외식
245,2496,6,47285,2024-04-20,refund,offline,쇼핑
246,3685,40,27335,2024-05-26,paid,online,외식
247,4118,10,20118,2024-12-22,paid,offline,식품
248,2773,24,13873,2024-12-19,paid,offline,주유
249,8998,13,24395,2024-07-23,paid,online,외식
250,6985,11,102339,2024-01-10,paid,mobile,쇼핑
251,9739,44,33201,2024-01-10,paid,mobile,의료
252,5066,41,29241,2024-11-19,paid,mobile,쇼핑
253,7264,50,186443,2024-01-19,paid,online,식품
254,8115,36,68434,2024-10-03,paid,offline,의료
255,1962,8,287674,2024-01-26,paid,mobile,가전
256,8877,13,99260,2024-08-11,cancel,offline,가전
257,6466,42,120845,2024-04-20,paid,online,의료
258,8884,29,22756,2024-08-20,paid,online,교육
259,9123,12,185013,2024-02-24,cancel,online,가전
260,3669,16,66890,2024-08-17,paid,mobile,식품
261,7995,19,145401,2024-03-22,refund,online,여행
262,5363,18,26462,2024-11-12,paid,mobile,외식
263,2228,25,31737,2024-11-03,paid,mobile,패션
264,6441,13,97578,2024-04-03,paid,mobile,식품
265,5146,49,200864,2024-05-12,paid,offline,쇼핑
266,7510,45,43564,2024-12-04,paid,offline,쇼핑
267,1745,47,30749,2024-07-09,paid,offline,문화
268,4701,49,126551,2024-06-05,paid,offline,의료
269,319,39,54161,2024-11-03,paid,offline,쇼핑
270,5345,21,12085,2024-05-30,paid,online,의료
271,5811,42,76027,2024-08-06,refund,mobile,여행
272,780,35,257256,2024-06-23,refund,online,가전
273,4900,49,120525,2024-08-20,paid,offline,교육
274,2604,36,32517,2024-06-15,paid,offline,식품
275,5315,9,60885,2024-08-01,paid,offline,패션
276,1160,39,41832,2024-12-14,paid,online,문화
277,8991,6,22730,2024-10-29,paid,mobile,문화
278,662,21,18417,2024-12-19,paid,online,식품
279,5511,5,135648,2024-01-13,paid,offline,여행
280,1856,48,34885,2024-06-28,paid,online,식품
281,3327,38,24904,2024-10-12,paid,offline,외식
282,713,24,35786,2024-03-19,paid,offline,의료
283,6060,19,74095,2024-10-27,paid,mobile,패션
284,1787,42,7158,2024-08-30,paid,online,식품
285,1719,7,48802,2024-05-19,paid,mobile,의료
286,9641,38,54706,2024-08-27,paid,online,의료
287,5923,2,338242,2024-03-30,paid,offline,패션
288,2737,23,82559,2024-08-31,paid,online,쇼핑
289,2849,33,48433,2024-03-18,paid,mobile,주유
290,436,2,73930,2024-06-04,paid,offline,문화
291,2340,42,80646,2024-01-21,paid,online,외식
292,8849,14,22846,2024-04-07,cancel,mobile,문화
293,360,36,77203,2024-12-12,cancel,offline,교육
294,9459,32,16534,2024-02-19,paid,offline,주유
295,2174,40,19823,2024-03-16,paid,mobile,외식
296,9946,27,34795,2024-03-15,paid,mobile,쇼핑
297,3471,4,49321,2024-05-07,paid,offline,문화
298,3926,29,133465,2024-04-17,paid,online,문화
299,6851,31,9309,2024-11-28,paid,online,주유
300,924,46,25780,2024-05-11,paid,online,문화
301,5661,29,125515,2024-09-08,cancel,mobile,여행
302,6126,24,42317,2024-07-13,paid,mobile,패션
303,926,19,36880,2024-05-18,paid,offline,주유
304,1814,41,20014,2024-08-24,paid,online,문화
305,914,12,217441,2024-03-20,cancel,offline,쇼핑
306,8228,6,110854,2024-01-23,paid,offline,여행
307,5855,31,140722,2024-07-28,cancel,offline,여행
308,4842,34,125190,2024-03-29,paid,offline,교육
309,614,8,160940,2024-07-15,paid,online,가전
310,4903,23,556489,2024-07-01,paid,offline,쇼핑
311,2295,19,161320,2024-08-09,paid,online,의료
312,955,7,100933,2024-05-01,paid,online,의료
313,7565,2,29433,2024-04-20,paid,offline,주유
314,237,47,17692,2024-07-25,paid,offline,주유
315,2095,6,99327,2024-01-27,paid,mobile,패션
316,9856,46,100344,2024-01-29,paid,online,여행
317,8011,31,276760,2024-11-14,paid,online,여행
318,3523,42,149535,2024-08-19,paid,online,교육
319,5003,25,162920,2024-09-19,paid,offline,여행
320,4266,22,43463,2024-07-18,paid,mobile,가전
321,3785,15,12008,2024-09-12,paid,mobile,주유
322,9602,48,85287,2024-12-30,paid,mobile,문화
323,173,35,35293,2024-12-01,cancel,online,외식
324,1372,46,17528,2024-12-13,paid,offline,문화
325,3751,45,30550,2024-06-25,cancel,offline,의료
326,1880,41,121145,2024-06-02,paid,offline,교육
327,5634,10,77796,2024-08-23,cancel,mobile,가전
328,4058,40,170943,2024-10-14,paid,online,의료
329,769,11,277160,2024-07-22,paid,mobile,교육
330,8621,11,24386,2024-12-20,paid,mobile,문화
331,9968,29,16391,2024-08-10,paid,offline,주유
332,9997,26,26598,2024-03-07,refund,offline,외식
333,4442,2,270347,2024-07-02,cancel,mobile,교육
334,8921,41,7101,2024-10-08,paid,online,주유
335,2081,36,50877,2024-06-14,paid,mobile,교육
336,7907,37,112454,2024-11-02,paid,offline,쇼핑
337,6614,34,413561,2024-03-04,paid,online,쇼핑
338,8843,21,174225,2024-06-19,paid,online,쇼핑
339,2674,39,32232,2024-07-16,paid,offline,쇼핑
340,293,39,71399,2024-06-12,cancel,mobile,여행
341,986,34,10215,2024-01-19,paid,offline,식품
342,1799,2,57150,2024-05-19,cancel,online,문화
343,786,1,102511,2024-01-28,paid,online,패션
344,762,29,110119,2024-10-31,paid,offline,여행
345,4974,42,54824,2024-05-10,paid,mobile,문화
346,2905,26,124837,2024-07-17,paid,offline,가전
347,3972,35,130123,2024-09-18,paid,online,패션
348,5492,46,19654,2024-08-29,paid,mobile,주유
349,8098,33,41057,2024-01-03,paid,mobile,주유
350,9691,34,48640,2024-10-17,paid,online,문화
351,6986,10,39789,2024-09-13,paid,online,교육
352,4524,21,90519,2024-05-07,paid,online,외식
353,5970,11,55828,2024-04-10,paid,online,교육
354,9078,41,110877,2024-12-15,paid,mobile,여행
355,5111,39,348114,2024-02-10,paid,online,가전
356,114,48,56781,2024-02-17,paid,offline,패션
357,887,50,19510,2024-03-12,cancel,online,문화
358,4268,26,111033,2024-11-19,cancel,offline,문화
359,9407,42,24611,2024-10-08,paid,mobile,의료
360,706,35,276677,2024-07-25,paid,offline,여행
361,5205,17,41798,2024-04-02,paid,offline,쇼핑
362,9972,33,12769,2024-10-22,cancel,mobile,주유
363,9762,36,43172,2024-09-04,refund,online,패션
364,284,8,144824,2024-11-05,paid,offline,교육
365,7626,29,14483,2024-06-01,paid,online,문화
366,4251,31,45645,2024-03-13,paid,mobile,쇼핑
367,7644,44,50953,2024-10-16,paid,offline,쇼핑
368,159,23,21148,2024-11-24,cancel,mobile,주유
369,2622,2,28025,2024-08-03,paid,mobile,주유
370,8569,48,230573,2024-07-08,paid,offline,가전
371,9454,12,19224,2024-03-10,paid,mobile,주유
372,9269,1,32378,2024-09-29,refund,mobile,교육
373,3817,12,88708,2024-02-16,paid,mobile,가전
374,7839,36,16104,2024-03-09,paid,online,문화
375,4582,49,15571,2024-04-06,paid,offline,외식
376,9075,46,19095,2024-06-13,paid,online,주유
377,5360,1,68681,2024-10-10,paid,offline,가전
378,5184,10,33534,2024-03-26,paid,offline,문화
379,6090,37,33527,2024-08-01,paid,online,문화
380,708,49,190409,2024-08-05,paid,offline,가전
381,1864,27,282490,2024-04-30,paid,offline,여행
382,1301,50,74105,2024-02-05,paid,mobile,주유
383,1080,48,84901,2024-02-26,refund,offline,교육
384,5384,31,123686,2024-07-12,paid,online,쇼핑
385,6104,42,52298,2024-07-12,paid,offline,문화
386,820,38,33525,2024-08-08,paid,online,가전
387,6357,50,248340,2024-04-06,paid,offline,교육
388,604,29,35473,2024-12-08,cancel,online,외식
389,6425,48,785191,2024-08-16,paid,mobile,가전
390,4075,43,232337,2024-04-28,paid,offline,여행
391,5511,35,130307,2024-02-09,paid,mobile,가전
392,601,21,15977,2024-04-20,cancel,online,식품
393,1544,47,93616,2024-01-21,paid,offline,의료
394,5695,33,23153,2024-05-31,paid,online,주유
395,1301,49,215884,2024-09-04,paid,online,가전
396,3470,5,63449,2024-02-19,paid,offline,교육
397,8752,6,82369,2024-10-25,refund,mobile,의료
398,155,29,93558,2024-05-14,paid,mobile,의료
399,2423,26,52315,2024-05-25,paid,online,패션
400,8820,10,14140,2024-05-21,cancel,offline,주유
401,5496,7,146332,2024-05-03,paid,online,교육
402,2893,20,38149,2024-06-09,paid,mobile,문화
403,427,45,164327,2024-12-19,paid,mobile,교육
404,2019,7,41722,2024-11-14,paid,online,식품
405,7858,19,14998,2024-11-07,paid,online,패션
406,2633,33,311160,2024-01-19,paid,online,여행
407,137,41,152589,2024-04-28,paid,online,여행
408,4415,29,91954,2024-09-07,paid,mobile,문화
409,7590,45,28906,2024-11-20,paid,offline,외식
410,2394,47,45964,2024-11-12,paid,offline,주유
411,5544,47,98464,2024-11-03,paid,offline,가전
412,4046,30,174861,2024-01-08,paid,online,의료
413,3358,50,85014,2024-05-26,paid,mobile,여행
414,4333,8,65038,2024-04-17,paid,mobile,교육
415,543,34,203961,2024-06-05,paid,offline,식품
416,85,41,39155,2024-02-15,cancel,mobile,교육
417,9484,28,64737,2024-04-09,refund,offline,문화
418,9936,19,54393,2024-09-21,paid,mobile,패션
419,1055,48,70257,2024-11-13,paid,mobile,주유
420,6263,31,24748,2024-11-24,paid,mobile,식품
421,1754,1,438174,2024-10-05,paid,offline,쇼핑
422,6198,13,39490,2024-04-26,paid,offline,문화
423,7951,34,42557,2024-10-12,paid,mobile,쇼핑
424,9598,27,278795,2024-04-14,paid,online,여행
425,1687,7,597711,2024-06-18,paid,online,여행
426,170,18,36222,2024-11-19,paid,mobile,주유
427,2126,49,16261,2024-03-04,refund,offline,패션
428,6199,26,32744,2024-10-20,paid,offline,문화
429,1606,8,49044,2024-12-31,paid,online,외식
430,9538,14,24899,2024-04-19,paid,offline,외식
431,5963,31,144844,2024-09-04,paid,offline,가전
432,6330,7,33457,2024-07-03,paid,mobile,의료
433,9760,11,252795,2024-01-04,paid,offline,패션
434,9897,3,4312,2024-02-13,paid,online,주유
435,3948,27,333114,2024-01-19,paid,mobile,여행
436,1428,1,217712,2024-02-11,paid,online,식품
437,5998,8,96063,2024-11-26,paid,mobile,쇼핑
438,9591,16,28774,2024-04-23,paid,online,문화
439,509,26,7229,2024-01-04,paid,offline,외식
440,9574,31,41787,2024-07-18,paid,mobile,식품
441,5368,24,120518,2024-07-06,cancel,online,가전
442,2088,11,146870,2024-08-09,refund,online,의료
443,9864,35,15451,2024-11-20,paid,mobile,문화
444,5815,27,13104,2024-11-02,paid,online,주유
445,5339,29,54977,2024-05-20,paid,offline,쇼핑
446,3442,23,30493,2024-01-24,paid,mobile,식품
447,2030,21,39445,2024-06-07,paid,offline,쇼핑
448,7111,33,101326,2024-07-17,paid,mobile,쇼핑
449,4207,17,20511,2024-03-17,paid,offline,식품
450,1591,5,47563,2024-06-19,cancel,online,주유
451,8492,22,6278,2024-07-10,paid,offline,식품
452,3241,50,15741,2024-08-05,cancel,mobile,문화
453,2161,22,13345,2024-12-28,cancel,online,외식
454,7015,3,134356,2024-10-14,paid,online,문화
455,9188,47,106969,2024-12-19,paid,mobile,가전
456,7223,47,12761,2024-08-14,paid,offline,주유
457,5575,20,20997,2024-05-15,paid,offline,문화
458,3503,6,51588,2024-08-01,paid,online,쇼핑
459,6998,12,32826,2024-11-26,paid,mobile,문화
460,2420,41,12676,2024-12-04,paid,offline,문화
461,1481,31,45845,2024-08-12,paid,mobile,패션
462,3815,11,19023,2024-08-09,paid,offline,외식
463,5055,12,10640,2024-03-08,paid,mobile,식품
464,3984,44,46345,2024-04-13,paid,offline,식품
465,5493,25,24300,2024-03-18,paid,mobile,교육
466,4823,9,101694,2024-08-07,paid,mobile,여행
467,2502,45,172982,2024-08-04,paid,online,여행
468,5702,39,229847,2024-02-24,paid,mobile,쇼핑
469,1234,50,60699,2024-02-10,paid,online,식품
470,235,49,8791,2024-04-10,paid,offline,식품
471,7706,34,20222,2024-12-31,paid,offline,문화
472,9566,36,181979,2024-11-19,paid,mobile,교육
473,735,43,112613,2024-04-17,paid,offline,가전
474,3697,33,19849,2024-07-05,paid,online,외식
475,3732,16,67013,2024-09-21,paid,online,교육
476,8308,23,27967,2024-06-16,paid,online,쇼핑
477,4605,18,54959,2024-07-14,paid,online,쇼핑
478,1285,26,447727,2024-11-14,paid,online,여행
479,2700,7,44963,2024-11-17,refund,offline,쇼핑
480,9732,25,18897,2024-09-08,paid,online,식품
481,6028,27,75652,2024-02-06,refund,mobile,의료
482,706,25,12056,2024-01-19,paid,offline,주유
483,8487,35,127390,2024-12-17,paid,mobile,주유
484,1864,43,203444,2024-03-18,paid,online,여행
485,4809,6,254876,2024-11-20,cancel,mobile,교육
486,7532,31,148967,2024-12-12,paid,offline,교육
487,2972,24,59818,2024-05-16,paid,mobile,여행
488,4384,45,124880,2024-10-19,paid,offline,교육
489,4919,38,22231,2024-11-14,paid,online,쇼핑
490,7489,21,43350,2024-12-10,cancel,online,쇼핑
491,2021,29,11594,2024-03-08,paid,offline,의료
492,2103,10,29692,2024-02-11,paid,offline,외식
493,856,36,109817,2024-09-21,cancel,online,쇼핑
494,7035,6,47603,2024-07-27,paid,online,쇼핑
495,5252,39,24748,2024-01-07,paid,offline,주유
496,7153,40,1295341,2024-06-16,cancel,mobile,여행
497,5483,25,90785,2024-08-17,refund,offline,가전
498,3742,13,159841,2024-10-23,paid,online,패션
499,9961,33,28603,2024-06-22,paid,mobile,패션
500,3100,36,77229,2024-08-09,paid,offline,주유
501,3909,34,56390,2024-07-16,refund,offline,외식
502,2808,32,39422,2024-02-02,paid,offline,의료
503,1669,47,34971,2024-06-17,paid,offline,패션
504,8210,48,26706,2024-05-19,paid,offline,식품
505,7693,4,242079,2024-08-16,refund,mobile,쇼핑
506,4676,3,99222,2024-08-11,paid,mobile,식품
507,4483,41,29353,2024-01-18,paid,online,주유
508,2693,4,56868,2024-09-25,paid,online,패션
509,8823,22,119525,2024-10-12,paid,offline,교육
510,9984,4,14403,2024-09-19,paid,offline,외식
511,4410,27,27916,2024-03-18,paid,online,외식
512,3386,2,139717,2024-12-25,paid,offline,식품
513,5539,42,62866,2024-04-29,refund,mobile,여행
514,5078,49,165966,2024-04-20,paid,mobile,쇼핑
515,6762,49,64854,2024-10-28,paid,offline,쇼핑
516,8450,40,56708,2024-11-17,paid,mobile,문화
517,6510,22,15180,2024-08-13,paid,mobile,문화
518,1341,43,13370,2024-10-13,paid,online,식품
519,9551,4,87626,2024-11-16,paid,offline,의료
520,8150,23,14169,2024-01-11,cancel,mobile,의료
521,5163,13,53857,2024-07-03,paid,offline,가전
522,4641,3,15717,2024-06-05,refund,offline,주유
523,1118,47,26240,2024-01-02,paid,offline,주유
524,4802,40,29206,2024-06-10,paid,offline,외식
525,2053,21,27781,2024-01-28,paid,offline,외식
526,1533,13,55198,2024-04-02,cancel,offline,패션
527,4519,1,55139,2024-04-13,paid,mobile,가전
528,5752,21,90840,2024-11-17,paid,mobile,쇼핑
