review_id,a_category,b_category,final_category,a_action_mask,b_action_mask,resolution_source
review-1538fa93f259c264,2,2,2,16,8,adjudication
review-15f5cb8ca60e63e7,1,1,1,34,34,auto_agreement_not_human_adjudication
review-170c904128c3b75d,1,1,1,34,34,auto_agreement_not_human_adjudication
review-17bb16430527761d,1,1,1,38,34,adjudication
review-1820dec42f5ec2ca,1,1,1,34,34,auto_agreement_not_human_adjudication
review-19cc4ce8b1dbe415,1,2,2,2,32,adjudication
review-19d11b9f743aa049,1,1,1,34,34,auto_agreement_not_human_adjudication
review-1a4aa7992820ca2a,1,1,1,34,34,auto_agreement_not_human_adjudication
review-1a60e1bd37131802,2,2,2,16,16,auto_agreement_not_human_adjudication
review-1b01c3e70a5cd621,1,2,1,2,16,adjudication
review-1b29308cb4906d02,1,1,1,34,34,auto_agreement_not_human_adjudication
review-1bcdb8b5e4902f77,2,2,2,16,16,auto_agreement_not_human_adjudication
review-1bee5d35c3ae9550,1,2,1,2,32,adjudication
review-1c32fedd4b32dd06,3,3,3,16,16,auto_agreement_not_human_adjudication
review-1c42c25c32f5bd82,1,1,1,34,34,auto_agreement_not_human_adjudication
review-1cb842404c1056c4,2,2,2,16,16,auto_agreement_not_human_adjudication
review-1e450b71c02e190a,1,4,1,3,16,adjudication
review-1e479c4a302f356c,1,1,1,34,32,adjudication
review-1e68018ab3a2b26e,2,2,2,16,16,auto_agreement_not_human_adjudication
review-1ea0789836e39e65,1,1,1,34,34,auto_agreement_not_human_adjudication
review-1f07a8c7cd26df2c,4,2,2,3,16,adjudication
review-2015b61fb97f2965,2,3,3,16,16,adjudication
review-21e2a2729d0906e0,2,2,2,16,16,auto_agreement_not_human_adjudication
review-220daefcb5d386ed,1,1,1,2,2,auto_agreement_not_human_adjudication
review-223ad249b0ed1b08,2,2,2,16,16,auto_agreement_not_human_adjudication
review-22f7bb9e3da427de,1,1,1,6,2,adjudication
review-2324027bc353cb29,1,1,1,34,34,auto_agreement_not_human_adjudication
review-23e4e9eb29dd8f93,2,2,2,16,16,auto_agreement_not_human_adjudication
review-25104a7eec1f7831,1,1,1,34,34,auto_agreement_not_human_adjudication
review-256d1c0f349382b5,2,2,2,16,16,auto_agreement_not_human_adjudication
review-2579df062aafc741,1,1,1,34,32,adjudication
review-25ec7d62ea3d7444,1,1,1,32,32,auto_agreement_not_human_adjudication
review-260a39866b3feb51,2,2,2,16,16,auto_agreement_not_human_adjudication
review-266fac2cf4f9a2fe,1,1,1,34,34,auto_agreement_not_human_adjudication
review-2705653809f7ad8f,2,2,2,16,16,auto_agreement_not_human_adjudication
review-270f57eba07d36f4,1,1,1,34,32,adjudication
review-2769abe8fc6ffd87,2,3,3,16,16,adjudication
review-27c93b924b9803a0,1,2,1,2,32,adjudication
review-27fee91252ef3d87,2,2,2,16,32,adjudication
review-293586512b140a4e,1,1,1,32,32,auto_agreement_not_human_adjudication
review-2953de0d9a6a0ef3,2,2,2,16,16,auto_agreement_not_human_adjudication
review-2b3f3a2d3b9504b2,2,2,2,16,16,auto_agreement_not_human_adjudication
review-2b5a69423072c0ba,4,2,2,16,16,adjudication
review-2ba16080ec46773d,2,4,4,16,16,adjudication
review-2d4568421c26bf66,2,2,2,16,16,auto_agreement_not_human_adjudication
review-2d707fce0fb4702c,2,2,2,16,8,adjudication
review-2d80e47aaaa42543,2,2,2,16,16,auto_agreement_not_human_adjudication
review-2dcd34cb42910200,1,1,1,6,2,adjudication
review-2dd7b92c08e4f5c4,3,3,3,16,16,auto_agreement_not_human_adjudication
review-2f31bd2c29ca07dd,2,3,3,16,16,adjudication
review-300c4c657ef26689,2,2,2,16,8,adjudication
review-30c664d1fb0416d2,3,3,3,16,16,auto_agreement_not_human_adjudication
review-30d20e067658db39,4,4,4,64,64,auto_agreement_not_human_adjudication
review-30e3bf5a7666c842,1,1,1,34,34,auto_agreement_not_human_adjudication
review-31a75727a167d60d,1,1,1,34,32,adjudication
review-322a0c915a6dca98,1,1,1,6,34,adjudication
review-326317e54a445bed,1,1,1,2,34,adjudication
review-3398cc98a1b87648,1,1,1,34,34,auto_agreement_not_human_adjudication
review-3423b715646fd583,1,1,1,34,34,auto_agreement_not_human_adjudication
review-344682f2618ba8f9,3,2,2,16,16,adjudication
review-34c4c16cb5ea9aaf,1,1,1,34,34,auto_agreement_not_human_adjudication
review-363f281df3bd9ba4,3,3,3,16,16,auto_agreement_not_human_adjudication
review-364329807a65a090,1,1,1,2,2,auto_agreement_not_human_adjudication
review-36c6682493394c5a,1,1,1,34,34,auto_agreement_not_human_adjudication
review-370202b258208735,1,1,1,6,6,auto_agreement_not_human_adjudication
review-37141dd75c3875fc,2,2,2,16,16,auto_agreement_not_human_adjudication
review-3735a715aa425485,2,2,2,16,8,adjudication
review-377101d740e3c93a,1,1,1,34,34,auto_agreement_not_human_adjudication
review-37962ff6cab628b9,1,1,1,34,34,auto_agreement_not_human_adjudication
review-37a24da8c91a2014,1,1,1,34,34,auto_agreement_not_human_adjudication
review-37bb8af10a6775e3,4,2,2,64,32,adjudication
review-37c64855b20334c3,4,2,2,16,16,adjudication
review-383246308e1d9552,1,2,1,2,16,adjudication
review-39a836fe3d87fa33,2,2,2,16,16,auto_agreement_not_human_adjudication
review-39e0fa05577bfbae,1,1,1,34,34,auto_agreement_not_human_adjudication
review-3a343dbd60efe3c5,3,3,3,16,16,auto_agreement_not_human_adjudication
review-3a3a0c9003eb78d2,2,2,2,16,8,adjudication
review-3aa78c267ab21f05,2,2,2,16,32,adjudication
review-3abe5c96847ee3b9,2,2,2,16,8,adjudication
review-3b23a85b0e54e4e2,3,2,2,16,16,adjudication
review-3b5a82f01656ae5e,3,3,3,16,16,auto_agreement_not_human_adjudication
review-3b5e9306ce7f16f6,2,2,2,16,8,adjudication
review-3c542b2889f7ee41,1,1,1,34,34,auto_agreement_not_human_adjudication
review-3c6ae33a89ac17a5,1,1,1,34,34,auto_agreement_not_human_adjudication
review-3ec3c8e07bb7e369,3,3,3,16,16,auto_agreement_not_human_adjudication
review-3f1aad6856711dea,2,2,2,16,16,auto_agreement_not_human_adjudication
review-4034e1976e7caf3d,2,2,2,16,16,auto_agreement_not_human_adjudication
review-4056d8996d6573f3,1,4,1,3,16,adjudication
review-40617332c72b6a65,1,1,1,2,2,auto_agreement_not_human_adjudication
review-40e531a989b5b832,1,1,1,34,6,adjudication
review-40eb85d72dbb3fa3,1,1,1,34,34,auto_agreement_not_human_adjudication
review-40f65d491fbb6c91,1,2,1,2,32,adjudication
review-417d1a94491a5069,3,3,3,16,16,auto_agreement_not_human_adjudication
review-419f917f2243e05b,3,2,2,16,16,adjudication
review-41e7242cf53f7aec,3,3,3,16,16,auto_agreement_not_human_adjudication
review-41ec06c9fc578cef,1,1,1,34,34,auto_agreement_not_human_adjudication
review-44d5803b821bc077,1,1,1,34,34,auto_agreement_not_human_adjudication
review-4532712bae1263a4,1,1,1,34,34,auto_agreement_not_human_adjudication
review-46f3555593434e8a,1,1,1,34,34,auto_agreement_not_human_adjudication
review-47389333283368dc,1,1,1,34,34,auto_agreement_not_human_adjudication
review-48f7182245c9e551,2,2,2,16,16,auto_agreement_not_human_adjudication
review-49230d04e233f44b,3,3,3,16,16,auto_agreement_not_human_adjudication
review-49a272d982158787,1,2,1,2,32,adjudication
review-49db2f3969f4dab7,3,3,3,16,16,auto_agreement_not_human_adjudication
review-4a4a9ac934622b9e,2,2,2,16,16,auto_agreement_not_human_adjudication
review-4a5f226471e5edaf,1,1,1,34,34,auto_agreement_not_human_adjudication
review-4aad735ff43af908,2,2,2,16,32,adjudication
review-4aafcfede478ed2e,1,1,1,34,34,auto_agreement_not_human_adjudication
review-4b0f3b3c6f3029e0,1,1,1,34,34,auto_agreement_not_human_adjudication
review-4b7d3212a375f3c3,1,2,2,2,32,adjudication
review-4bb32c9d9587eb5b,1,1,1,34,34,auto_agreement_not_human_adjudication
review-4bc7fe6f6685e5b0,1,3,3,34,16,adjudication
review-4be490099efed608,1,1,1,34,34,auto_agreement_not_human_adjudication
review-4c1327797f738c0f,2,2,2,16,16,auto_agreement_not_human_adjudication
review-4c45e2acc43cd09c,1,1,1,34,34,auto_agreement_not_human_adjudication
review-4c7db89388133c66,2,2,2,16,16,auto_agreement_not_human_adjudication
review-4c7f2895cbdfff17,1,1,1,34,34,auto_agreement_not_human_adjudication
review-4cbabc8906c81322,1,1,1,34,34,auto_agreement_not_human_adjudication
review-4db7bde369258db0,1,1,1,10,8,adjudication
review-4dee15ae26647c57,2,2,2,16,16,auto_agreement_not_human_adjudication
review-4e91758f8be8575d,1,1,1,42,8,adjudication
review-50913d75a97def28,1,2,2,2,32,adjudication
review-50c65fd60929a11c,1,1,1,34,34,auto_agreement_not_human_adjudication
review-50eaadd4d0f17b7f,2,2,2,16,16,auto_agreement_not_human_adjudication
review-5155bcd98221f6df,2,2,2,16,16,auto_agreement_not_human_adjudication
review-5176dde30e249277,2,2,2,16,16,auto_agreement_not_human_adjudication
review-5192f26c12526af0,1,2,1,2,32,adjudication
review-5201c5937ee64b08,1,1,1,2,2,auto_agreement_not_human_adjudication
review-5351da806d5c8862,2,2,2,16,16,auto_agreement_not_human_adjudication
review-5377c60609e6da5b,1,2,1,5,16,adjudication
review-53c35a92e8d9dc2a,2,4,4,16,16,adjudication
review-53cc92ecebb430c9,2,2,2,16,16,auto_agreement_not_human_adjudication
review-543aeb75302230e1,2,2,2,16,16,auto_agreement_not_human_adjudication
review-545d35ba143011e5,2,2,2,16,16,auto_agreement_not_human_adjudication
review-54a4b61c2ddb946a,3,3,3,16,16,auto_agreement_not_human_adjudication
review-55155ad766375eb6,3,2,2,16,16,adjudication
review-5582aae305ae4193,3,3,3,16,16,auto_agreement_not_human_adjudication
review-55839cdd8c1c65c6,3,3,3,16,16,auto_agreement_not_human_adjudication
review-563b94c3e75e8c6d,1,1,1,2,2,auto_agreement_not_human_adjudication
review-56f61182338ec612,1,1,1,2,2,auto_agreement_not_human_adjudication
review-572c07846f21e2ba,2,2,2,16,16,auto_agreement_not_human_adjudication
review-573127865357f88a,2,2,2,16,16,auto_agreement_not_human_adjudication
review-5784e41a45931326,1,1,1,34,34,auto_agreement_not_human_adjudication
review-588539dd497a5994,1,1,1,2,2,auto_agreement_not_human_adjudication
review-591262c8bdf0034a,2,4,2,16,64,adjudication
review-5915bce9f0ed137d,4,2,2,64,8,adjudication
review-5a021883af9f96ea,3,3,3,16,16,auto_agreement_not_human_adjudication
review-5a49e43857a6f8f0,1,1,1,34,32,adjudication
review-5a7aed2fa9914ccd,2,2,2,16,16,auto_agreement_not_human_adjudication
review-5a9261ed8c81a5c6,2,2,2,16,16,auto_agreement_not_human_adjudication
review-5b0c0204dc451747,1,1,1,34,34,auto_agreement_not_human_adjudication
review-5b38287421b21063,2,2,2,16,16,auto_agreement_not_human_adjudication
review-5b8a47398769e7ef,2,2,2,16,16,auto_agreement_not_human_adjudication
review-5bd99d54544ce7e3,3,1,3,16,32,adjudication
review-5c5069cca8a5add0,3,3,3,16,16,auto_agreement_not_human_adjudication
review-5c8fb855522635b0,2,2,2,16,16,auto_agreement_not_human_adjudication
review-5cdeba2735509611,1,1,1,34,34,auto_agreement_not_human_adjudication
review-5d4e3193863f1946,1,1,1,34,36,adjudication
review-5f54bbc511caaded,2,2,2,16,16,auto_agreement_not_human_adjudication
review-5f5dd240c73902fa,3,3,3,16,16,auto_agreement_not_human_adjudication
review-5fad6c92922b1924,4,4,4,64,64,auto_agreement_not_human_adjudication
review-6036afa1a4a219c3,2,2,2,16,16,auto_agreement_not_human_adjudication
review-613647025d825449,2,2,2,16,16,auto_agreement_not_human_adjudication
review-61fef2c9ced4f942,2,2,2,16,16,auto_agreement_not_human_adjudication
review-6236e7e3fd2a54c8,2,2,2,16,2,adjudication
review-6260263e3bc9f334,1,1,1,34,34,auto_agreement_not_human_adjudication
review-63bef8982e454a02,1,1,1,34,32,adjudication
review-63ea5eac0fdbfe2f,1,1,1,34,34,auto_agreement_not_human_adjudication
review-65037cf8dfccb4af,3,3,3,16,16,auto_agreement_not_human_adjudication
review-6521774e33af014d,2,4,2,16,64,adjudication
review-65c507e4203143d6,1,1,1,34,34,auto_agreement_not_human_adjudication
review-65fde99e6e05f377,1,1,1,34,34,auto_agreement_not_human_adjudication
review-66516cd6e1b084bc,2,2,2,16,16,auto_agreement_not_human_adjudication
review-66ef57282af71d4f,2,2,2,16,16,auto_agreement_not_human_adjudication
review-6742e699b2c19637,3,4,4,16,16,adjudication
review-6925d1d5c92f5e6d,2,2,2,16,16,auto_agreement_not_human_adjudication
review-6938cc7e883cfae5,1,1,1,34,2,adjudication
review-6a3da5bb1cbb35c3,1,1,1,2,34,adjudication
review-6ae02f39f51553d5,1,1,1,10,8,adjudication
review-6b23a95e54455bfe,1,1,1,2,8,adjudication
review-6b90760350513e04,2,2,2,16,16,auto_agreement_not_human_adjudication
review-6c345dd95982d152,1,1,1,2,16,adjudication
review-6c7372dc6724ef49,2,2,2,16,16,auto_agreement_not_human_adjudication
review-6c9e3e62bbb95763,1,2,1,2,32,adjudication
review-6d70e00c3a0eb212,1,3,1,2,16,adjudication
review-6e51f1a0ccb981e6,1,1,1,34,34,auto_agreement_not_human_adjudication
review-6ee455a4c31c9039,3,2,2,16,16,adjudication
review-6f695f49e7ab13e0,2,2,2,16,16,auto_agreement_not_human_adjudication
review-70dad336d995a509,2,2,2,16,16,auto_agreement_not_human_adjudication
review-71bc6120e1507254,1,1,1,34,34,auto_agreement_not_human_adjudication
review-722fa17d1953465a,1,1,1,34,34,auto_agreement_not_human_adjudication
review-737f8fd0571ce3c6,4,2,2,64,32,adjudication
review-747ccc19ddd0a65f,2,2,2,16,16,auto_agreement_not_human_adjudication
review-7493575c90062c41,3,3,3,16,16,auto_agreement_not_human_adjudication
review-7494a9906bb71039,3,1,1,6,2,adjudication
review-755768c5838e2f29,1,1,1,34,34,auto_agreement_not_human_adjudication
review-75ab06f0d698d679,1,1,1,2,8,adjudication
review-75f8aea8c65c0cb2,1,1,1,34,34,auto_agreement_not_human_adjudication
review-76a47d926f91413e,2,2,2,16,16,auto_agreement_not_human_adjudication
review-76f98d8733690feb,1,2,2,2,32,adjudication
review-7794b3bc9bc0c3a1,2,2,2,16,8,adjudication
review-77b394cbe6e1dc4b,2,2,2,16,8,adjudication
review-787b7c042622aae0,3,2,2,16,16,adjudication
review-790151d3979b5cf2,2,2,2,16,16,auto_agreement_not_human_adjudication
review-7977c3d1276873c7,2,2,2,16,16,auto_agreement_not_human_adjudication
review-7a761126add20b55,1,1,1,34,34,auto_agreement_not_human_adjudication
review-7aed3e349c71aa1c,1,1,1,34,34,auto_agreement_not_human_adjudication
review-7b32c18f837c52f3,1,2,2,2,16,adjudication
review-7b9d338bf5cd4bdc,2,2,2,16,16,auto_agreement_not_human_adjudication
review-7bc2e45e3ffc6c78,2,2,2,16,16,auto_agreement_not_human_adjudication
review-7c0605262829dbc3,1,1,1,34,34,auto_agreement_not_human_adjudication
review-7cbff1d715e4b2f0,3,3,3,16,16,auto_agreement_not_human_adjudication
review-7d4271562f20ae7d,3,3,3,16,16,auto_agreement_not_human_adjudication
review-7d723e9bf1b824f5,1,2,1,2,32,adjudication
review-7e4208c3a8d81d5e,2,2,2,16,16,auto_agreement_not_human_adjudication
review-8039ca8a8d71147c,1,1,1,2,2,auto_agreement_not_human_adjudication
review-80aaf5285dff5d52,3,3,3,16,16,auto_agreement_not_human_adjudication
review-80c5a8d505a86e25,2,2,2,16,16,auto_agreement_not_human_adjudication
review-81b1a3bc8dfb1982,2,2,2,16,16,auto_agreement_not_human_adjudication
review-81db582ab9c83a7d,1,1,1,34,34,auto_agreement_not_human_adjudication
review-833c087c0ab5f903,4,2,1,2,32,adjudication
review-83bf04c6b634cf0b,3,3,3,16,16,auto_agreement_not_human_adjudication
review-83fb52312abeb4ec,1,1,1,34,34,auto_agreement_not_human_adjudication
review-8408e233d5c05195,2,2,2,16,16,auto_agreement_not_human_adjudication
review-85ef908a3e61f2a2,2,2,2,16,16,auto_agreement_not_human_adjudication
review-869ed6a92825209e,1,1,1,34,32,adjudication
review-87280a48b9739e82,1,1,1,6,6,auto_agreement_not_human_adjudication
review-87ca5145bb1464ea,3,3,3,16,16,auto_agreement_not_human_adjudication
review-87fb862754461a9e,3,3,3,16,16,auto_agreement_not_human_adjudication
review-8815f8f3d2cf8ddd,2,2,2,16,16,auto_agreement_not_human_adjudication
review-8858113ca39c4a08,1,1,1,34,34,auto_agreement_not_human_adjudication
review-8a9635c815342586,1,1,1,34,34,auto_agreement_not_human_adjudication
review-8a9a3331b5fa55b8,2,2,2,16,8,adjudication
review-8ac3c67723460772,2,2,2,16,16,auto_agreement_not_human_adjudication
review-8acb2fdf0b998c44,1,1,1,34,34,auto_agreement_not_human_adjudication
review-8b051b87b72136a4,1,1,1,2,2,auto_agreement_not_human_adjudication
review-8c0239752664c9f7,1,1,1,2,8,adjudication
review-8c3afec16f00c8ea,2,2,2,16,16,auto_agreement_not_human_adjudication
review-8c9379e6d07693b9,1,1,1,10,8,adjudication
review-8e3e294dce3f381b,2,2,2,16,16,auto_agreement_not_human_adjudication
review-8f6994cbd2075acd,1,1,1,34,34,auto_agreement_not_human_adjudication
review-8f7e5118fc4a9d93,1,1,1,34,34,auto_agreement_not_human_adjudication
review-901aa5f6d890357c,1,1,1,34,34,auto_agreement_not_human_adjudication
review-904be5b534ca4342,2,2,2,16,16,auto_agreement_not_human_adjudication
review-92026380db179cfa,1,4,1,2,16,adjudication
review-92a8bdc500ce598c,1,1,1,34,34,auto_agreement_not_human_adjudication
review-92e977f1b9f64cdd,1,1,1,2,2,auto_agreement_not_human_adjudication
review-936c9b094a62d464,2,2,2,16,16,auto_agreement_not_human_adjudication
review-93d84a89e42aa2d2,1,1,1,34,32,adjudication
review-93e39f35ad377da3,2,2,2,16,16,auto_agreement_not_human_adjudication
review-93f251b7f415320e,1,1,1,34,34,auto_agreement_not_human_adjudication
review-9440c7b20214abb9,1,1,1,34,34,auto_agreement_not_human_adjudication
review-94b8ffc8b0784e28,2,2,2,16,16,auto_agreement_not_human_adjudication
review-95ab42239fb052e7,3,3,3,16,16,auto_agreement_not_human_adjudication
review-95b51a345d37bf9b,1,1,1,34,32,adjudication
review-95c15e2125e8158e,1,1,1,34,34,auto_agreement_not_human_adjudication
review-962656fa6b00f587,3,3,3,16,16,auto_agreement_not_human_adjudication
review-96be0a4e61349470,1,1,1,34,34,auto_agreement_not_human_adjudication
review-973274a88b5aa1db,2,2,2,16,16,auto_agreement_not_human_adjudication
review-9751bc751be6b57c,1,1,1,2,2,auto_agreement_not_human_adjudication
review-9762bd209b88d2ac,1,1,1,6,6,auto_agreement_not_human_adjudication
review-97b3b26bd7e8a65a,4,2,2,64,16,adjudication
review-97dbf9fb83d5fd0a,3,2,2,16,16,adjudication
review-97eb58f77becd57e,3,2,2,16,16,adjudication
review-9827872ee45caecd,1,1,1,34,34,auto_agreement_not_human_adjudication
review-982aea7aee2bfd5b,1,1,1,34,34,auto_agreement_not_human_adjudication
review-9833d3f3d2c07833,1,1,1,34,32,adjudication
review-9848e1bfbd07911c,2,2,2,16,16,auto_agreement_not_human_adjudication
review-98f41617c328173b,1,1,1,34,34,auto_agreement_not_human_adjudication
review-98f9751b78a4c31e,2,3,3,16,16,adjudication
review-99553665d7fa8d60,2,2,2,16,16,auto_agreement_not_human_adjudication
review-9955e43648119f93,1,1,1,34,34,auto_agreement_not_human_adjudication
review-9a3f12ca280a1c8a,3,3,3,2,2,auto_agreement_not_human_adjudication
review-9a4ea6655a8a5a4f,3,3,3,16,16,auto_agreement_not_human_adjudication
review-9a6d46e3500865e5,1,2,1,2,32,adjudication
review-9ad68457d5c5ddfe,1,1,1,32,32,auto_agreement_not_human_adjudication
review-9bf729353718fab4,2,2,2,16,16,auto_agreement_not_human_adjudication
review-9c83743cb64ceb5e,2,2,2,16,8,adjudication
review-9c94f8c84f214457,1,1,1,32,40,adjudication
review-9ca002eef5fabf4c,2,2,2,16,16,auto_agreement_not_human_adjudication
review-9d4c0bc5bb2de352,1,1,1,34,34,auto_agreement_not_human_adjudication
review-9db42b53975f21ce,3,3,3,16,16,auto_agreement_not_human_adjudication
review-9dcbf9222596e8de,2,4,4,16,16,adjudication
review-9e59560a7b1c6aa2,3,2,1,16,32,adjudication
review-9e77e04ddb3e3ff6,1,1,1,34,34,auto_agreement_not_human_adjudication
review-9ec13abc1ec360b9,2,2,2,16,8,adjudication
review-a00070320560c3ff,1,1,1,34,34,auto_agreement_not_human_adjudication
review-a003a34f2b7224ae,2,2,2,16,16,auto_agreement_not_human_adjudication
review-a0157c7c504b2713,1,1,1,32,34,adjudication
review-a077aa771a77e44f,2,2,2,16,16,auto_agreement_not_human_adjudication
review-a07cfcb07490d311,1,1,1,34,32,adjudication
review-a0abc212fe654fe2,1,1,1,34,34,auto_agreement_not_human_adjudication
review-a1325d40440edcad,2,2,2,16,16,auto_agreement_not_human_adjudication
review-a17319837ff0f25f,1,1,1,34,34,auto_agreement_not_human_adjudication
review-a1b685810c820047,1,1,1,34,34,auto_agreement_not_human_adjudication
review-a1c208b7e2a31834,1,1,1,2,2,auto_agreement_not_human_adjudication
review-a31dcf3587c938e0,1,1,1,32,40,adjudication
review-a3348ee784bf419a,1,1,1,34,34,auto_agreement_not_human_adjudication
review-a3b8e31a589bfbf6,1,1,1,34,34,auto_agreement_not_human_adjudication
review-a55cc489390f4d15,1,1,1,34,34,auto_agreement_not_human_adjudication
review-a5c8844b07d15249,1,1,1,34,34,auto_agreement_not_human_adjudication
review-a5e01613dff9b90c,3,2,2,16,16,adjudication
review-a737e63e0af5d4ad,3,3,3,16,16,auto_agreement_not_human_adjudication
review-a884f7c925b47633,1,1,1,34,34,auto_agreement_not_human_adjudication
review-a8b302c46a81110b,2,2,2,16,16,auto_agreement_not_human_adjudication
review-a93e9d44999fbedb,2,2,2,16,16,auto_agreement_not_human_adjudication
review-a966f0861f64ccf4,1,2,1,2,32,adjudication
review-aa0341109ceb1209,2,2,2,16,10,adjudication
review-ab5082605dd6822e,1,1,1,34,38,adjudication
review-abfd0300b3e94bc9,3,3,3,16,16,auto_agreement_not_human_adjudication
review-ac307e4a1651f014,1,3,3,34,16,adjudication
review-aca9116d8021bfae,1,1,1,34,38,adjudication
review-acfda6dedbd0ac44,2,2,2,16,16,auto_agreement_not_human_adjudication
review-ad512146de7da940,1,1,1,6,6,auto_agreement_not_human_adjudication
review-ad7039ac6a9ced27,2,2,2,16,16,auto_agreement_not_human_adjudication
review-add578e780e46b65,3,2,2,16,16,adjudication
review-ae30eff1c5009634,3,3,3,16,16,auto_agreement_not_human_adjudication
review-aefdc599d52d1968,1,2,1,2,16,adjudication
review-af3cd140e815bf14,2,2,2,16,16,auto_agreement_not_human_adjudication
review-b0d0b31ce42bff6d,1,1,1,6,34,adjudication
review-b1335825efb8b815,2,2,2,16,16,auto_agreement_not_human_adjudication
review-b1951ff1f4366cb0,2,2,2,16,16,auto_agreement_not_human_adjudication
review-b31a9429969a49d0,2,2,2,16,16,auto_agreement_not_human_adjudication
review-b354a4224eb298ed,1,1,1,34,34,auto_agreement_not_human_adjudication
review-b4838689e702ca9d,2,2,2,16,16,auto_agreement_not_human_adjudication
review-b495dcabfdc9e6bb,1,1,1,34,32,adjudication
review-b4a140a400dd0bd4,1,1,1,34,34,auto_agreement_not_human_adjudication
review-b4f3af03fab1d1b9,1,1,1,34,34,auto_agreement_not_human_adjudication
review-b52505e7e689a4b8,3,2,2,16,16,adjudication
review-b716d55654e9e174,2,2,2,16,16,auto_agreement_not_human_adjudication
review-b75a5cafe4180fd6,2,1,1,16,16,adjudication
review-b7a4aa1c4b4f5a68,4,4,4,2,2,auto_agreement_not_human_adjudication
review-b7db7bfa3479f4d7,2,2,2,16,16,auto_agreement_not_human_adjudication
review-b853cb37dc6b6e11,2,2,2,16,16,auto_agreement_not_human_adjudication
review-b894aa9bff1613dc,1,1,1,34,34,auto_agreement_not_human_adjudication
review-b8b4a371ec215d7c,2,2,2,16,16,auto_agreement_not_human_adjudication
review-b973d23ab4a680d4,2,2,2,16,16,auto_agreement_not_human_adjudication
