order_id,user_id,order_date,order_datetime,status,total_amount,items_amount,discount_amount,discount_rate,shipping_fee,payment_method,device,channel,shipping_region,coupon_used,refund_date
28,34736,10MAR2026,10MAR2026:21:21:37,cancelled,4120,1400,280,20.0,3000,card,mobile,direct,부산,0,
29,47001,16JAN2026,16JAN2026:07:14:45,paid,1371610,1443800,72190,5.0,0,kakao,mobile,organic,경기,1,
30,7556,24FEB2025,24FEB2025:08:04:34,paid,79420,83600,4180,5.0,0,naver,mobile,social,부산,0,
31,22428,04JUN2026,04JUN2026:20:40:30,paid,223360,279200,55840,20.0,0,card,tablet,social,부산,0,
32,10606,09JUL2025,09JUL2025:11:45:06,paid,106080,124800,18720,15.0,0,card,mobile,email,서울,0,
33,33273,20NOV2024,20NOV2024:16:34:09,paid,308635,363100,54465,15.0,0,kakao,mobile,paid_search,경남,1,
34,40474,13OCT2024,13OCT2024:01:17:29,paid,527670,586300,58630,10.0,0,card,pc,organic,경기,1,
35,16111,27APR2026,27APR2026:11:31:05,paid,342800,342800,0,0.0,0,card,pc,paid_search,전북,0,
36,26271,03JUN2025,03JUN2025:04:21:13,paid,81700,81700,0,0.0,0,card,mobile,email,경기,0,
37,27889,16JAN2026,16JAN2026:05:36:59,paid,1954200,1954200,0,0.0,0,etc,pc,organic,세종,0,
38,39089,24APR2026,24APR2026:16:47:45,paid,58995,62100,3105,5.0,0,card,mobile,social,경북,0,
39,4937,06JAN2025,06JAN2025:10:19:57,paid,148640,185800,37160,20.0,0,transfer,mobile,paid_search,경북,0,
40,42311,04NOV2025,04NOV2025:21:12:08,paid,3005600,3005600,0,0.0,0,kakao,mobile,social,경북,0,
41,2708,18APR2025,18APR2025:16:14:48,paid,190640,238300,47660,20.0,0,naver,mobile,paid_search,인천,0,
42,21014,14OCT2025,14OCT2025:13:31:53,paid,81520,101900,20380,20.0,0,etc,mobile,organic,서울,0,
43,43122,22AUG2025,22AUG2025:22:51:45,paid,1843020,2047800,204780,10.0,0,kakao,mobile,paid_search,서울,1,
44,36143,11AUG2025,11AUG2025:11:05:49,refunded,283300,283300,0,0.0,0,kakao,mobile,organic,부산,0,19AUG2025
45,49504,11FEB2026,11FEB2026:16:57:45,paid,1596285,1680300,84015,5.0,0,naver,pc,organic,제주,0,
46,45354,27APR2026,27APR2026:05:27:15,refunded,181900,181900,0,0.0,0,card,pc,social,서울,0,02MAY2026
47,32989,12JAN2026,12JAN2026:08:56:18,paid,19300,16300,0,0.0,3000,kakao,mobile,email,경기,0,
48,39422,09MAR2025,09MAR2025:18:05:02,cancelled,805695,848100,42405,5.0,0,card,mobile,organic,충북,0,
49,4300,20MAY2026,20MAY2026:02:01:06,refunded,71440,75200,3760,5.0,0,card,mobile,email,대전,0,02JUN2026
50,13078,05JAN2026,05JAN2026:18:46:45,paid,2071365,2436900,365535,15.0,0,transfer,mobile,organic,서울,0,
51,8475,17FEB2026,17FEB2026:16:43:38,paid,1812600,1908000,95400,5.0,0,transfer,mobile,organic,제주,0,
52,41038,02SEP2025,02SEP2025:11:54:54,paid,502470,558300,55830,10.0,0,transfer,mobile,email,전남,0,
53,12443,22AUG2024,22AUG2024:06:47:51,refunded,31790,37400,5610,15.0,0,transfer,pc,organic,서울,0,25AUG2024
54,9399,03JUN2026,03JUN2026:05:06:01,paid,72720,90900,18180,20.0,0,kakao,pc,paid_search,서울,0,
55,10247,19JUN2026,19JUN2026:19:29:47,cancelled,2734200,2734200,0,0.0,0,transfer,mobile,organic,전북,0,
56,43278,25NOV2025,25NOV2025:06:47:24,paid,55680,69600,13920,20.0,0,naver,tablet,direct,경기,0,
57,20287,05NOV2025,05NOV2025:10:20:05,cancelled,4520195,4758100,237905,5.0,0,card,pc,social,전북,0,
58,32953,05OCT2025,05OCT2025:13:52:50,cancelled,399200,399200,0,0.0,0,card,mobile,paid_search,충남,0,
59,12771,17MAY2026,17MAY2026:21:24:31,paid,51000,60000,9000,15.0,0,card,mobile,direct,인천,0,
60,49906,07JUL2024,07JUL2024:17:14:08,paid,287500,287500,0,0.0,0,naver,mobile,organic,부산,1,
61,33763,22OCT2025,22OCT2025:04:57:08,cancelled,28740,28600,2860,10.0,3000,card,mobile,organic,경북,0,
62,2078,09JUN2026,09JUN2026:18:38:16,paid,465700,465700,0,0.0,0,kakao,tablet,organic,전남,0,
63,2931,26MAR2026,26MAR2026:09:49:00,paid,1015000,1015000,0,0.0,0,card,mobile,organic,경기,0,
64,32145,16MAY2026,16MAY2026:00:04:25,paid,1145375,1347500,202125,15.0,0,transfer,pc,direct,부산,0,
65,9345,09APR2026,09APR2026:13:07:06,paid,100470,118200,17730,15.0,0,card,mobile,organic,경기,0,
66,7287,17JAN2026,17JAN2026:06:06:01,paid,281880,313200,31320,10.0,0,naver,mobile,paid_search,충북,0,
67,1888,10JAN2026,10JAN2026:19:54:33,paid,733200,733200,0,0.0,0,card,mobile,email,서울,0,
68,4701,05MAR2026,05MAR2026:01:37:35,paid,3039260,3575600,536340,15.0,0,card,mobile,paid_search,경기,0,
69,5105,06MAR2026,06MAR2026:17:20:13,paid,1054400,1054400,0,0.0,0,naver,mobile,social,인천,0,
70,25186,07FEB2026,07FEB2026:13:02:56,refunded,20440,21800,4360,20.0,3000,naver,mobile,paid_search,경기,0,20FEB2026
71,48079,28NOV2025,28NOV2025:10:56:54,paid,3256700,3256700,0,0.0,0,card,mobile,paid_search,광주,0,
72,34705,21NOV2025,21NOV2025:14:23:27,refunded,700145,823700,123555,15.0,0,card,mobile,paid_search,경북,0,25NOV2025
73,2451,06MAY2025,06MAY2025:05:04:07,paid,222585,234300,11715,5.0,0,naver,pc,email,경기,0,
74,24710,13MAY2026,13MAY2026:15:03:02,paid,1598595,1880700,282105,15.0,0,transfer,mobile,social,경기,0,
75,38853,28FEB2026,28FEB2026:18:10:32,paid,521200,521200,0,0.0,0,card,pc,paid_search,경북,1,
76,30949,26MAY2025,26MAY2025:01:50:14,paid,580380,682800,102420,15.0,0,card,mobile,organic,경남,0,
77,46625,09JUL2025,09JUL2025:18:20:46,pending,374400,374400,0,0.0,0,card,mobile,social,경기,1,
78,38077,08MAY2026,08MAY2026:12:45:37,paid,1154700,1154700,0,0.0,0,card,mobile,paid_search,충남,0,
79,3717,01FEB2025,01FEB2025:13:09:06,paid,54720,68400,13680,20.0,0,kakao,tablet,social,경기,0,
80,22113,05JUN2026,05JUN2026:13:47:34,paid,77120,96400,19280,20.0,0,card,pc,social,서울,0,
81,26233,14AUG2025,14AUG2025:05:44:09,paid,109170,121300,12130,10.0,0,card,pc,social,경기,0,
82,20503,02JUN2024,02JUN2024:11:45:44,paid,326740,384400,57660,15.0,0,card,tablet,organic,경기,0,
83,931,04JUN2024,04JUN2024:22:35:43,paid,44270,46600,2330,5.0,0,card,mobile,organic,인천,0,
84,44249,29DEC2024,29DEC2024:20:37:38,paid,31860,35400,3540,10.0,0,kakao,mobile,organic,충남,1,
85,35330,20APR2026,20APR2026:15:23:26,paid,2327700,2327700,0,0.0,0,card,tablet,organic,충북,0,
86,7240,12NOV2025,12NOV2025:12:44:54,paid,302100,318000,15900,5.0,0,card,mobile,organic,강원,0,
87,9242,08APR2026,08APR2026:09:21:10,paid,345440,431800,86360,20.0,0,card,mobile,social,인천,0,
88,31100,26JUL2025,26JUL2025:16:59:27,paid,102800,102800,0,0.0,0,card,mobile,email,광주,0,
89,19671,11DEC2025,11DEC2025:09:54:33,paid,21700,18700,0,0.0,3000,card,mobile,social,경북,0,
90,37737,13DEC2025,13DEC2025:07:18:12,cancelled,131400,146000,14600,10.0,0,card,mobile,paid_search,광주,0,
91,27259,11MAY2026,11MAY2026:12:46:09,paid,39355,46300,6945,15.0,0,transfer,mobile,paid_search,세종,0,
92,27582,22SEP2025,22SEP2025:07:12:38,refunded,3301630,3475400,173770,5.0,0,card,pc,organic,충북,0,29SEP2025
93,37470,21MAR2026,21MAR2026:11:06:32,cancelled,45390,53400,8010,15.0,0,card,mobile,paid_search,세종,0,
94,28744,30AUG2025,30AUG2025:09:19:18,paid,149400,149400,0,0.0,0,kakao,mobile,social,부산,0,
95,378,05AUG2025,05AUG2025:08:14:44,paid,54200,54200,0,0.0,0,card,pc,social,인천,0,
96,3144,07APR2026,07APR2026:17:34:29,paid,18580,16400,820,5.0,3000,kakao,mobile,paid_search,부산,0,
97,43211,27NOV2024,27NOV2024:07:07:16,paid,138420,153800,15380,10.0,0,kakao,mobile,direct,전북,0,
98,17122,06DEC2025,06DEC2025:23:09:17,paid,15000,12000,0,0.0,3000,card,pc,organic,경기,0,
99,45122,13MAR2026,13MAR2026:11:11:41,paid,616080,724800,108720,15.0,0,kakao,mobile,paid_search,대전,1,
100,43230,12JUN2024,12JUN2024:03:36:54,pending,24470,22600,1130,5.0,3000,card,mobile,organic,부산,0,
101,6882,24DEC2024,24DEC2024:04:32:12,paid,22760,24700,4940,20.0,3000,card,mobile,direct,서울,0,
102,19469,29JUL2025,29JUL2025:12:13:06,paid,2960720,3700900,740180,20.0,0,card,mobile,organic,서울,1,
103,49955,31MAR2026,31MAR2026:08:04:54,paid,23900,20900,0,0.0,3000,card,mobile,organic,광주,0,
104,35026,11JAN2026,11JAN2026:20:51:02,paid,181800,202000,20200,10.0,0,kakao,pc,paid_search,경기,0,
105,3074,08OCT2025,08OCT2025:13:06:23,paid,79500,79500,0,0.0,0,kakao,mobile,paid_search,서울,0,
106,41268,01NOV2025,01NOV2025:21:55:08,refunded,30360,28800,1440,5.0,3000,card,mobile,organic,서울,0,06NOV2025
107,2831,13MAY2026,13MAY2026:04:19:05,paid,5026390,5913400,887010,15.0,0,etc,mobile,email,서울,0,
108,23906,04JUN2026,04JUN2026:08:45:05,paid,396320,495400,99080,20.0,0,card,tablet,email,경기,0,
109,13941,18MAR2026,18MAR2026:11:13:30,paid,842000,842000,0,0.0,0,card,pc,direct,인천,0,
110,43174,30NOV2025,30NOV2025:17:17:43,paid,2514080,2646400,132320,5.0,0,card,mobile,paid_search,대구,0,
111,40744,18JUL2025,18JUL2025:12:48:44,paid,41310,45900,4590,10.0,0,card,mobile,email,경기,0,
112,37434,28DEC2024,28DEC2024:11:39:08,paid,56500,56500,0,0.0,0,card,mobile,organic,경기,0,
113,27947,16JAN2025,16JAN2025:17:08:12,paid,3232200,3232200,0,0.0,0,naver,mobile,paid_search,경기,0,
114,34454,05FEB2026,05FEB2026:17:35:21,paid,1554800,1554800,0,0.0,0,card,mobile,paid_search,대전,0,
115,41357,28MAR2025,28MAR2025:01:04:16,paid,30400,27400,0,0.0,3000,card,pc,direct,충남,0,
116,21349,13MAY2025,13MAY2025:19:57:31,paid,94800,94800,0,0.0,0,card,pc,social,부산,0,
117,10552,11MAR2026,11MAR2026:10:27:49,paid,1715400,1715400,0,0.0,0,kakao,pc,social,충북,0,
118,49235,13JUN2026,13JUN2026:20:41:53,paid,552400,552400,0,0.0,0,card,tablet,organic,부산,0,
119,17369,30JAN2026,30JAN2026:17:21:48,cancelled,2108335,2219300,110965,5.0,0,kakao,pc,paid_search,경기,0,
120,8375,05FEB2026,05FEB2026:04:20:37,paid,752300,752300,0,0.0,0,etc,mobile,paid_search,부산,0,
121,38731,05MAY2025,05MAY2025:21:03:58,paid,32640,38400,5760,15.0,0,transfer,mobile,email,서울,1,
122,34731,04DEC2025,04DEC2025:04:25:47,refunded,74600,74600,0,0.0,0,card,mobile,social,경기,0,07DEC2025
123,16920,01SEP2025,01SEP2025:00:07:06,paid,46400,58000,11600,20.0,0,card,tablet,email,경기,0,
124,22566,10APR2025,10APR2025:12:10:51,paid,46720,58400,11680,20.0,0,card,mobile,paid_search,인천,0,
125,23319,19JAN2026,19JAN2026:03:57:05,paid,113200,113200,0,0.0,0,naver,mobile,direct,경기,0,
126,10379,01OCT2025,01OCT2025:01:30:04,pending,517500,517500,0,0.0,0,card,pc,direct,강원,0,
127,17583,07NOV2024,07NOV2024:18:19:13,paid,30600,27600,0,0.0,3000,card,mobile,direct,경기,0,
128,450,21OCT2025,21OCT2025:05:22:48,paid,95370,112200,16830,15.0,0,kakao,mobile,social,부산,0,
129,29010,20MAR2026,20MAR2026:07:38:24,cancelled,97840,122300,24460,20.0,0,etc,mobile,social,서울,0,
130,48002,06APR2026,06APR2026:11:35:04,paid,546600,546600,0,0.0,0,naver,mobile,organic,서울,0,
131,22393,25NOV2025,25NOV2025:02:45:52,paid,31200,31200,0,0.0,0,card,mobile,direct,서울,0,
132,43012,28FEB2026,28FEB2026:05:27:37,paid,2438100,2438100,0,0.0,0,kakao,mobile,paid_search,경기,0,
133,39585,16SEP2024,16SEP2024:23:19:10,pending,11415,9900,1485,15.0,3000,card,mobile,social,강원,0,
134,171,14DEC2025,14DEC2025:00:10:46,paid,1590000,1590000,0,0.0,0,card,pc,organic,경북,0,
135,36041,04AUG2025,04AUG2025:12:17:41,paid,26350,31000,4650,15.0,0,transfer,mobile,social,경북,0,
136,22367,18JAN2026,18JAN2026:19:37:49,paid,1111290,1307400,196110,15.0,0,naver,mobile,organic,경남,0,
137,26853,10APR2025,10APR2025:09:58:49,paid,112050,124500,12450,10.0,0,card,mobile,direct,인천,0,
138,22271,19AUG2025,19AUG2025:17:12:58,paid,336150,373500,37350,10.0,0,naver,mobile,organic,서울,0,
139,13541,08MAY2026,08MAY2026:07:16:08,paid,1105765,1300900,195135,15.0,0,card,tablet,organic,서울,0,
140,48494,05APR2026,05APR2026:10:28:44,pending,32640,38400,5760,15.0,0,kakao,tablet,paid_search,경기,0,
141,12416,08DEC2025,08DEC2025:02:33:51,paid,262200,276000,13800,5.0,0,card,mobile,social,세종,0,
142,26662,17JAN2026,17JAN2026:15:36:42,paid,66880,70400,3520,5.0,0,card,mobile,organic,인천,0,
143,13852,23MAR2026,23MAR2026:11:33:30,paid,143600,143600,0,0.0,0,naver,mobile,organic,전남,0,
144,12024,22SEP2025,22SEP2025:08:45:39,paid,55360,69200,13840,20.0,0,naver,mobile,social,서울,0,
145,15955,27MAR2025,27MAR2025:09:00:43,paid,233190,259100,25910,10.0,0,kakao,pc,paid_search,대구,0,
146,17983,02AUG2024,02AUG2024:11:01:50,refunded,676300,676300,0,0.0,0,naver,mobile,paid_search,대구,0,13AUG2024
147,15319,18SEP2025,18SEP2025:15:03:51,paid,314700,314700,0,0.0,0,kakao,pc,social,서울,0,
148,2129,24MAY2026,24MAY2026:07:25:38,paid,171760,180800,9040,5.0,0,card,mobile,organic,서울,0,
149,1825,25JUN2025,25JUN2025:08:20:39,paid,2829480,2978400,148920,5.0,0,kakao,mobile,social,서울,0,
150,32580,24NOV2025,24NOV2025:11:51:36,paid,304650,338500,33850,10.0,0,card,mobile,paid_search,인천,1,
151,42017,31MAY2025,31MAY2025:23:01:28,paid,77220,85800,8580,10.0,0,card,mobile,paid_search,전북,0,
152,3313,19JUN2026,19JUN2026:08:01:21,paid,140700,140700,0,0.0,0,kakao,mobile,email,서울,0,
153,11066,07JUN2025,07JUN2025:15:05:17,paid,98200,98200,0,0.0,0,transfer,mobile,paid_search,경기,0,
154,4878,27JAN2026,27JAN2026:17:34:14,paid,28380,28200,2820,10.0,3000,card,mobile,paid_search,부산,0,
155,36785,11JUN2026,11JUN2026:07:01:52,pending,33440,41800,8360,20.0,0,naver,pc,social,서울,0,
156,27388,28MAY2025,28MAY2025:18:21:20,cancelled,72800,72800,0,0.0,0,card,pc,paid_search,경기,0,
157,41724,11FEB2026,11FEB2026:18:36:59,paid,816840,907600,90760,10.0,0,naver,mobile,direct,서울,0,
158,13130,12NOV2025,12NOV2025:20:20:14,refunded,548000,548000,0,0.0,0,card,pc,direct,인천,0,16NOV2025
159,4557,07OCT2025,07OCT2025:19:44:43,paid,198480,248100,49620,20.0,0,card,mobile,social,서울,0,
160,7653,28MAY2026,28MAY2026:05:05:27,paid,71640,79600,7960,10.0,0,card,mobile,email,서울,0,
161,3798,01JUN2026,01JUN2026:03:10:01,paid,5421280,6776600,1355320,20.0,0,transfer,mobile,email,경기,1,
162,42685,18MAR2026,18MAR2026:08:14:01,paid,2766400,2766400,0,0.0,0,transfer,pc,direct,부산,1,
163,3258,27NOV2025,27NOV2025:03:45:52,paid,32980,38800,5820,15.0,0,naver,pc,direct,경기,0,
164,34663,12DEC2025,12DEC2025:04:56:45,paid,932960,1097600,164640,15.0,0,card,mobile,organic,경기,0,
165,12482,27FEB2026,27FEB2026:18:12:11,paid,2228400,2228400,0,0.0,0,card,pc,organic,부산,1,
166,40782,25JUL2025,25JUL2025:21:34:04,paid,686100,686100,0,0.0,0,card,pc,organic,경기,0,
167,41635,19APR2026,19APR2026:16:29:41,paid,136500,136500,0,0.0,0,transfer,mobile,email,인천,0,
168,10688,16JUN2024,16JUN2024:19:48:48,paid,14520,14400,2880,20.0,3000,card,pc,paid_search,대구,0,
169,42002,18APR2025,18APR2025:17:31:35,paid,1227200,1227200,0,0.0,0,kakao,pc,social,경기,0,
170,29666,27NOV2025,27NOV2025:22:29:11,paid,1727370,2032200,304830,15.0,0,transfer,pc,paid_search,서울,1,
171,999,11JAN2025,11JAN2025:05:12:04,paid,72335,85100,12765,15.0,0,card,pc,social,부산,0,
172,23131,02JUL2026,02JUL2026:16:49:22,refunded,2417845,2545100,127255,5.0,0,card,pc,social,경기,0,14JUL2026
173,33468,26DEC2025,26DEC2025:02:30:43,paid,1129600,1129600,0,0.0,0,transfer,pc,paid_search,경기,0,
174,37459,18APR2026,18APR2026:07:44:13,paid,5249100,5249100,0,0.0,0,card,pc,email,대전,0,
175,38187,08APR2025,08APR2025:05:40:00,paid,139760,174700,34940,20.0,0,naver,pc,organic,서울,0,
176,48293,22MAR2026,22MAR2026:06:15:03,cancelled,34800,34800,0,0.0,0,card,mobile,direct,부산,0,
177,29440,13FEB2026,13FEB2026:14:53:45,paid,243100,243100,0,0.0,0,card,mobile,social,서울,0,
178,47794,18NOV2025,18NOV2025:13:32:48,paid,172980,192200,19220,10.0,0,kakao,pc,direct,경기,0,
179,13458,02SEP2025,02SEP2025:19:51:10,paid,54150,57000,2850,5.0,0,card,mobile,organic,서울,0,
180,14908,17MAR2026,17MAR2026:20:14:36,pending,1185300,1185300,0,0.0,0,transfer,mobile,paid_search,서울,0,
181,14046,10OCT2025,10OCT2025:12:08:22,paid,80155,94300,14145,15.0,0,card,mobile,organic,부산,0,
182,29174,03FEB2025,03FEB2025:12:21:58,paid,272600,272600,0,0.0,0,card,mobile,paid_search,충남,0,
183,11012,30NOV2025,30NOV2025:10:34:09,paid,128900,128900,0,0.0,0,transfer,mobile,organic,경기,0,
184,43755,07AUG2025,07AUG2025:17:16:40,paid,18600,15600,0,0.0,3000,transfer,mobile,social,서울,1,
185,9232,06AUG2025,06AUG2025:07:50:13,paid,171400,171400,0,0.0,0,transfer,mobile,paid_search,대구,0,
186,6358,28MAY2026,28MAY2026:11:10:30,refunded,420375,442500,22125,5.0,0,naver,mobile,social,경기,0,02JUN2026
187,47662,15APR2025,15APR2025:04:36:26,paid,105450,111000,5550,5.0,0,card,mobile,organic,전남,0,
188,46958,08SEP2025,08SEP2025:21:23:25,paid,2103110,2213800,110690,5.0,0,card,mobile,social,경기,0,
189,32010,27NOV2024,27NOV2024:09:34:22,cancelled,38475,40500,2025,5.0,0,card,pc,email,서울,0,
190,38366,31AUG2025,31AUG2025:22:51:22,paid,249100,249100,0,0.0,0,card,mobile,social,서울,0,
191,10258,14APR2026,14APR2026:05:13:28,cancelled,135300,135300,0,0.0,0,card,tablet,direct,대구,0,
192,12838,20JUN2025,20JUN2025:16:18:01,paid,862505,907900,45395,5.0,0,naver,pc,organic,부산,0,
193,21889,13MAY2025,13MAY2025:02:18:21,paid,136850,161000,24150,15.0,0,kakao,mobile,direct,경기,0,
194,26987,12JUN2026,12JUN2026:06:50:45,paid,74880,83200,8320,10.0,0,kakao,mobile,organic,서울,0,
195,2465,03MAR2026,03MAR2026:09:39:09,paid,25100,26000,3900,15.0,3000,transfer,pc,paid_search,경기,0,
196,1254,26JAN2026,26JAN2026:04:55:54,paid,1881920,2352400,470480,20.0,0,transfer,mobile,paid_search,서울,0,
197,43624,10JAN2026,10JAN2026:20:45:57,paid,13080,12600,2520,20.0,3000,transfer,mobile,email,경기,1,
198,18574,20APR2026,20APR2026:08:00:13,cancelled,1625580,1806200,180620,10.0,0,card,pc,social,경북,0,
199,15614,09MAR2026,09MAR2026:20:36:52,paid,1080080,1350100,270020,20.0,0,kakao,mobile,organic,경기,0,
200,26593,09OCT2025,09OCT2025:16:28:11,paid,657840,822300,164460,20.0,0,transfer,mobile,direct,경기,0,
201,16264,06FEB2026,06FEB2026:04:55:00,paid,3985500,3985500,0,0.0,0,transfer,mobile,organic,경기,0,
202,12786,02JAN2026,02JAN2026:14:40:15,pending,186750,207500,20750,10.0,0,card,pc,direct,대구,0,
203,39478,06JUN2026,06JUN2026:19:57:03,paid,318600,318600,0,0.0,0,transfer,mobile,email,경기,0,
204,30329,06MAY2026,06MAY2026:20:52:43,paid,249600,249600,0,0.0,0,card,mobile,paid_search,전남,0,
205,20015,28SEP2025,28SEP2025:00:17:22,paid,3143700,3143700,0,0.0,0,kakao,mobile,organic,충남,0,
206,32728,18JAN2026,18JAN2026:07:58:53,paid,1051100,1051100,0,0.0,0,card,mobile,social,충남,1,
207,27174,14JAN2026,14JAN2026:18:09:07,refunded,8355,6300,945,15.0,3000,card,mobile,organic,세종,0,16JAN2026
208,30775,18JUL2025,18JUL2025:16:19:49,paid,2038000,2038000,0,0.0,0,card,tablet,paid_search,충남,0,
209,21917,22APR2026,22APR2026:05:10:35,paid,2068600,2068600,0,0.0,0,naver,pc,social,서울,0,
210,31457,06FEB2026,06FEB2026:06:49:13,paid,221130,245700,24570,10.0,0,kakao,mobile,paid_search,경기,0,
211,20956,30SEP2025,30SEP2025:15:36:36,paid,59245,69700,10455,15.0,0,kakao,pc,organic,강원,0,
212,26304,07DEC2025,07DEC2025:09:03:48,paid,35340,37200,1860,5.0,0,card,mobile,paid_search,대구,0,
213,42416,25OCT2025,25OCT2025:11:03:34,pending,293200,293200,0,0.0,0,kakao,mobile,paid_search,경기,0,
214,28769,21MAY2026,21MAY2026:18:14:30,paid,350100,389000,38900,10.0,0,kakao,pc,email,서울,0,
215,18427,22SEP2025,22SEP2025:02:09:25,paid,1984600,1984600,0,0.0,0,kakao,mobile,social,부산,0,
216,24051,03MAY2025,03MAY2025:06:11:28,paid,48195,56700,8505,15.0,0,card,pc,organic,강원,0,
217,10562,17AUG2025,17AUG2025:22:47:58,refunded,146200,146200,0,0.0,0,card,pc,social,경기,0,18AUG2025
218,36018,06JUL2024,06JUL2024:22:33:09,paid,15900,12900,0,0.0,3000,card,mobile,organic,서울,0,
219,42705,17SEP2025,17SEP2025:01:12:57,refunded,77800,77800,0,0.0,0,naver,mobile,organic,경기,0,23SEP2025
220,37182,19MAY2026,19MAY2026:18:42:44,pending,952600,952600,0,0.0,0,kakao,mobile,direct,인천,0,
221,49227,29JUN2025,29JUN2025:10:38:43,paid,57800,57800,0,0.0,0,kakao,mobile,email,경기,0,
222,17081,24JAN2026,24JAN2026:00:14:06,pending,216700,216700,0,0.0,0,card,mobile,social,세종,0,
223,718,03APR2026,03APR2026:22:05:05,paid,1394240,1742800,348560,20.0,0,transfer,mobile,organic,세종,0,
224,20996,16NOV2024,16NOV2024:21:38:02,paid,111910,117800,5890,5.0,0,naver,pc,paid_search,강원,0,
225,20933,20AUG2024,20AUG2024:20:07:57,paid,1531600,1914500,382900,20.0,0,transfer,pc,direct,경기,0,
226,15037,25JUL2025,25JUL2025:00:22:52,paid,76950,81000,4050,5.0,0,kakao,mobile,paid_search,전북,0,
227,41587,20APR2025,20APR2025:05:09:13,paid,545600,545600,0,0.0,0,card,mobile,organic,전남,0,
228,24487,03DEC2025,03DEC2025:01:47:54,paid,28560,35700,7140,20.0,0,card,pc,direct,서울,0,
229,17531,12DEC2024,12DEC2024:08:05:30,paid,54600,54600,0,0.0,0,card,pc,direct,전남,0,
230,23339,15MAY2024,15MAY2024:07:17:14,paid,2147950,2261000,113050,5.0,0,kakao,mobile,social,경기,0,
231,33560,15JUL2025,15JUL2025:08:58:32,paid,1609900,1894000,284100,15.0,0,naver,mobile,social,서울,0,
232,7086,15JUN2026,15JUN2026:14:11:12,paid,17000,14000,0,0.0,3000,transfer,pc,direct,경기,0,
233,39507,07APR2025,07APR2025:20:25:16,paid,69480,77200,7720,10.0,0,card,mobile,direct,서울,0,
