pair_id,target_review_id,control_review_id,target_judgment,control_judgment,same_judgment,cosine_similarity
review-0cf62fd6142f6cb4,review-0cf62fd6142f6cb4,review-06745995f913ed5c,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.16075778007507324
review-c9bef77585bdd4e8,review-c9bef77585bdd4e8,review-06fe91fac978687e,risky_request_visible,promotion_without_clear_scam_request,0,0.21771472692489624
review-baf06dfd954e1b3a,review-baf06dfd954e1b3a,review-4c7db89388133c66,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.13111019134521484
review-c882bcd351e72aee,review-c882bcd351e72aee,review-3f1aad6856711dea,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.11308898776769638
review-982aea7aee2bfd5b,review-982aea7aee2bfd5b,review-2015b61fb97f2965,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1679491400718689
review-0f5e5787e2464fe3,review-0f5e5787e2464fe3,review-ea8461ed56afeacc,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.11299140751361847
review-5b0c0204dc451747,review-5b0c0204dc451747,review-dc7c7acfd6e2db79,risky_request_visible,promotion_without_clear_scam_request,0,0.10926539450883865
review-4bb32c9d9587eb5b,review-4bb32c9d9587eb5b,review-1a60e1bd37131802,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.19260729849338531
review-9e59560a7b1c6aa2,review-9e59560a7b1c6aa2,review-d29c44ff7ec787ac,promotion_without_clear_scam_request,promotion_without_clear_scam_request,1,0.45677897334098816
review-47389333283368dc,review-47389333283368dc,review-53c35a92e8d9dc2a,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.14281389117240906
review-ee314103593cc397,review-ee314103593cc397,review-65037cf8dfccb4af,risky_request_visible,promotion_without_clear_scam_request,0,0.497503399848938
review-266fac2cf4f9a2fe,review-266fac2cf4f9a2fe,review-2dd7b92c08e4f5c4,risky_request_visible,promotion_without_clear_scam_request,0,0.1376148760318756
review-9e77e04ddb3e3ff6,review-9e77e04ddb3e3ff6,review-5c8fb855522635b0,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.10337436199188232
review-fdc12fa3cc3d98a8,review-fdc12fa3cc3d98a8,review-bc9e9750ed2f2246,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.14978435635566711
review-44d5803b821bc077,review-44d5803b821bc077,review-d3b4daac66058960,risky_request_visible,promotion_without_clear_scam_request,0,0.14179913699626923
review-563b94c3e75e8c6d,review-563b94c3e75e8c6d,review-d7a5aa91a1e9ef4b,risky_request_visible,promotion_without_clear_scam_request,0,0.3878501355648041
review-1c42c25c32f5bd82,review-1c42c25c32f5bd82,review-49230d04e233f44b,risky_request_visible,promotion_without_clear_scam_request,0,0.13280902802944183
review-d1ba629d1b0c0386,review-d1ba629d1b0c0386,review-06613e1d63363778,insufficient_context,promotion_without_clear_scam_request,0,0.2277126908302307
review-ff7824303811b880,review-ff7824303811b880,review-2705653809f7ad8f,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.145377978682518
review-a17319837ff0f25f,review-a17319837ff0f25f,review-c4368025a0827097,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1386367380619049
review-322a0c915a6dca98,review-322a0c915a6dca98,review-d1df54b7c0853995,risky_request_visible,promotion_without_clear_scam_request,0,0.18442751467227936
review-0c756099e821ef26,review-0c756099e821ef26,review-c3157c09e695c3c5,risky_request_visible,promotion_without_clear_scam_request,0,0.3955134153366089
review-92e977f1b9f64cdd,review-92e977f1b9f64cdd,review-d27b1f741c6ce442,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.11678985506296158
review-40eb85d72dbb3fa3,review-40eb85d72dbb3fa3,review-6236e7e3fd2a54c8,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.12774939835071564
review-4aafcfede478ed2e,review-4aafcfede478ed2e,review-e5c8c789729e554c,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.14591963589191437
review-cf59c2e5933f9fa2,review-cf59c2e5933f9fa2,review-8e3e294dce3f381b,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.16175353527069092
review-f160feeb48ff21ee,review-f160feeb48ff21ee,review-7494a9906bb71039,risky_request_visible,promotion_without_clear_scam_request,0,0.28587138652801514
review-8acb2fdf0b998c44,review-8acb2fdf0b998c44,review-80aaf5285dff5d52,risky_request_visible,promotion_without_clear_scam_request,0,0.13371235132217407
review-f2b62cb8a35fddc1,review-f2b62cb8a35fddc1,review-9ca002eef5fabf4c,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.12117283791303635
review-ecf66ae7e447041e,review-ecf66ae7e447041e,review-3a3a0c9003eb78d2,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.28659769892692566
review-170c904128c3b75d,review-170c904128c3b75d,review-87ca5145bb1464ea,risky_request_visible,promotion_without_clear_scam_request,0,0.12153143435716629
review-a1b685810c820047,review-a1b685810c820047,review-98f9751b78a4c31e,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.11756086349487305
review-8f6994cbd2075acd,review-8f6994cbd2075acd,review-da0a87e60e534a8c,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1338096559047699
review-c7f76b1e1d80f49a,review-c7f76b1e1d80f49a,review-5a9261ed8c81a5c6,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.16101492941379547
review-65fde99e6e05f377,review-65fde99e6e05f377,review-41e7242cf53f7aec,risky_request_visible,promotion_without_clear_scam_request,0,0.14323970675468445
review-10e329e8873017e2,review-10e329e8873017e2,review-9ec13abc1ec360b9,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.252729594707489
review-bee3f43cbc979cc9,review-bee3f43cbc979cc9,review-7b9d338bf5cd4bdc,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.20533722639083862
review-cf827f0ca2b4b9a5,review-cf827f0ca2b4b9a5,review-2769abe8fc6ffd87,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.12895557284355164
review-1ea0789836e39e65,review-1ea0789836e39e65,review-417d1a94491a5069,risky_request_visible,promotion_without_clear_scam_request,0,0.13259902596473694
review-1502532d7fb02e2b,review-1502532d7fb02e2b,review-aa0341109ceb1209,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.34752508997917175
review-12aedba2ef212671,review-12aedba2ef212671,review-61fef2c9ced4f942,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.11458084732294083
review-6260263e3bc9f334,review-6260263e3bc9f334,review-b8b4a371ec215d7c,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.10038018971681595
review-8f7e5118fc4a9d93,review-8f7e5118fc4a9d93,review-c7e00bcebb9cbe94,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.12948653101921082
review-39e0fa05577bfbae,review-39e0fa05577bfbae,review-acfda6dedbd0ac44,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1058567613363266
review-83fb52312abeb4ec,review-83fb52312abeb4ec,review-a737e63e0af5d4ad,risky_request_visible,promotion_without_clear_scam_request,0,0.12164468318223953
review-6e51f1a0ccb981e6,review-6e51f1a0ccb981e6,review-c9d8f2fd31ea0b7f,risky_request_visible,promotion_without_clear_scam_request,0,0.13660188019275665
review-19d11b9f743aa049,review-19d11b9f743aa049,review-9a3f12ca280a1c8a,risky_request_visible,promotion_without_clear_scam_request,0,0.11790302395820618
review-1b01c3e70a5cd621,review-1b01c3e70a5cd621,review-0ce89002b27ae13e,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.28345969319343567
review-50913d75a97def28,review-50913d75a97def28,review-eef1587711f81f11,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.2757189869880676
review-bb9c36d01d5155e0,review-bb9c36d01d5155e0,review-f278c035dcc448b5,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1534803807735443
review-8a9635c815342586,review-8a9635c815342586,review-b973d23ab4a680d4,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.13123828172683716
review-e23fed0689d23954,review-e23fed0689d23954,review-c854f5ffb64bf3eb,promotion_without_clear_scam_request,ordinary_notice_or_conversation_possible,0,0.18753620982170105
review-f9b9a4279458f732,review-f9b9a4279458f732,review-9db42b53975f21ce,risky_request_visible,promotion_without_clear_scam_request,0,0.11628536134958267
review-a07cfcb07490d311,review-a07cfcb07490d311,review-abfd0300b3e94bc9,risky_request_visible,promotion_without_clear_scam_request,0,0.11683885753154755
review-ac307e4a1651f014,review-ac307e4a1651f014,review-54a4b61c2ddb946a,risky_request_visible,promotion_without_clear_scam_request,0,0.2805674374103546
review-6742e699b2c19637,review-6742e699b2c19637,review-d51a67f2e9911b52,promotion_without_clear_scam_request,ordinary_notice_or_conversation_possible,0,0.07651592046022415
review-f9d950de655d05cd,review-f9d950de655d05cd,review-260a39866b3feb51,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.11840144544839859
review-e58d1b3575c7e041,review-e58d1b3575c7e041,review-8a9a3331b5fa55b8,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.2198166400194168
review-34c4c16cb5ea9aaf,review-34c4c16cb5ea9aaf,review-09f8a52a643bde75,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.11677396297454834
review-41ec06c9fc578cef,review-41ec06c9fc578cef,review-87fb862754461a9e,risky_request_visible,promotion_without_clear_scam_request,0,0.122160904109478
review-ca722d1baa37caa6,review-ca722d1baa37caa6,review-3b23a85b0e54e4e2,risky_request_visible,promotion_without_clear_scam_request,0,0.1139521449804306
review-9751bc751be6b57c,review-9751bc751be6b57c,review-223ad249b0ed1b08,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.17808783054351807
review-e058b93119484125,review-e058b93119484125,review-10f0da95f3fdd21e,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.12563569843769073
review-3423b715646fd583,review-3423b715646fd583,review-e4dca6a839df1435,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.11353213340044022
review-9827872ee45caecd,review-9827872ee45caecd,review-70dad336d995a509,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.127561554312706
review-cb28a9106aef5505,review-cb28a9106aef5505,review-2ba16080ec46773d,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1242414265871048
review-d0b2291f671afb13,review-d0b2291f671afb13,review-9a4ea6655a8a5a4f,risky_request_visible,promotion_without_clear_scam_request,0,0.14370441436767578
review-4056d8996d6573f3,review-4056d8996d6573f3,review-790151d3979b5cf2,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1512051820755005
review-2324027bc353cb29,review-2324027bc353cb29,review-b52505e7e689a4b8,risky_request_visible,promotion_without_clear_scam_request,0,0.12293118238449097
review-a31dcf3587c938e0,review-a31dcf3587c938e0,review-da5d8fa9864e211c,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1055552288889885
review-4bc7fe6f6685e5b0,review-4bc7fe6f6685e5b0,review-fe1822167edb9625,risky_request_visible,promotion_without_clear_scam_request,0,0.22307059168815613
review-6c345dd95982d152,review-6c345dd95982d152,review-3b5e9306ce7f16f6,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.19563661515712738
review-bcc86610acb0f9ff,review-bcc86610acb0f9ff,review-a8b302c46a81110b,insufficient_context,ordinary_notice_or_conversation_possible,0,0.1677507609128952
review-e945ebd4e9533666,review-e945ebd4e9533666,review-dd9532439f290332,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.10540939122438431
review-0651a6827875d503,review-0651a6827875d503,review-a003a34f2b7224ae,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.11167175322771072
review-4db7bde369258db0,review-4db7bde369258db0,review-5176dde30e249277,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.14919976890087128
review-f69dbdcfebf56998,review-f69dbdcfebf56998,review-5a021883af9f96ea,risky_request_visible,promotion_without_clear_scam_request,0,0.12825490534305573
review-6ae02f39f51553d5,review-6ae02f39f51553d5,review-8ac3c67723460772,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.14502134919166565
review-13e7350b6f9c843d,review-13e7350b6f9c843d,review-0ba297695cc9a600,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.4840344786643982
review-22f7bb9e3da427de,review-22f7bb9e3da427de,review-5915bce9f0ed137d,risky_request_visible,insufficient_context,0,0.20374441146850586
review-075ea585da5cae15,review-075ea585da5cae15,review-b1335825efb8b815,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.09971384704113007
review-e384094846a41b50,review-e384094846a41b50,review-06e6ec96dd763a34,risky_request_visible,promotion_without_clear_scam_request,0,0.16518938541412354
review-a3b8e31a589bfbf6,review-a3b8e31a589bfbf6,review-01692c85b4c6e394,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.15620088577270508
review-a966f0861f64ccf4,review-a966f0861f64ccf4,review-bfec2c5d687b5e5a,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.20142138004302979
review-062650e5c03db7b3,review-062650e5c03db7b3,review-c20d5a744e2d1992,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.14865551888942719
review-901aa5f6d890357c,review-901aa5f6d890357c,review-b7db7bfa3479f4d7,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.11273299902677536
review-a0157c7c504b2713,review-a0157c7c504b2713,review-81b1a3bc8dfb1982,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.0957692414522171
review-40617332c72b6a65,review-40617332c72b6a65,review-cd10401423c3d046,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.12565568089485168
review-50c65fd60929a11c,review-50c65fd60929a11c,review-962656fa6b00f587,risky_request_visible,promotion_without_clear_scam_request,0,0.16563446819782257
review-1b29308cb4906d02,review-1b29308cb4906d02,review-dd1fb20a78a6cb60,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.14592115581035614
review-56f61182338ec612,review-56f61182338ec612,review-a93e9d44999fbedb,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.18272174894809723
review-e63efe4044e2aa11,review-e63efe4044e2aa11,review-0ddce31c46b4331c,risky_request_visible,promotion_without_clear_scam_request,0,0.10224633663892746
review-9c94f8c84f214457,review-9c94f8c84f214457,review-9c83743cb64ceb5e,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.17421256005764008
review-f360abb82bcec3c4,review-f360abb82bcec3c4,review-bc58d3e0a50d9226,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.14427101612091064
review-ecc7155e591dec16,review-ecc7155e591dec16,review-fbd669140c0c37bb,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.21644233167171478
review-031c270e33784faf,review-031c270e33784faf,review-613647025d825449,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.5168266296386719
review-d870679fd6d01453,review-d870679fd6d01453,review-6d70e00c3a0eb212,promotion_without_clear_scam_request,risky_request_visible,0,0.18429483473300934
review-6b23a95e54455bfe,review-6b23a95e54455bfe,review-9dcbf9222596e8de,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.5047910213470459
review-9d4c0bc5bb2de352,review-9d4c0bc5bb2de352,review-1f07a8c7cd26df2c,risky_request_visible,insufficient_context,0,0.14183086156845093
review-25ec7d62ea3d7444,review-25ec7d62ea3d7444,review-ca1c52eb5a9e5a56,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.16700002551078796
review-b0d0b31ce42bff6d,review-b0d0b31ce42bff6d,review-1538fa93f259c264,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.08656983077526093
review-37a24da8c91a2014,review-37a24da8c91a2014,review-363f281df3bd9ba4,risky_request_visible,promotion_without_clear_scam_request,0,0.10483589768409729
review-fd4a4694d748b8f1,review-fd4a4694d748b8f1,review-d5cad39f16073736,risky_request_visible,promotion_without_clear_scam_request,0,0.19657102227210999
review-7d723e9bf1b824f5,review-7d723e9bf1b824f5,review-77b394cbe6e1dc4b,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.2412722110748291
review-13ce66de75a8d3fc,review-13ce66de75a8d3fc,review-93e39f35ad377da3,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.11116567999124527
review-105735240253acfe,review-105735240253acfe,review-2b5a69423072c0ba,risky_request_visible,insufficient_context,0,0.12000348418951035
review-9762bd209b88d2ac,review-9762bd209b88d2ac,review-bd2ee152f3f0a48a,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.4343053102493286
review-8b051b87b72136a4,review-8b051b87b72136a4,review-c0dec81b7dec22c5,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.2489420771598816
review-17bb16430527761d,review-17bb16430527761d,review-747ccc19ddd0a65f,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.11899536103010178
review-02ed9a9204fc5c8c,review-02ed9a9204fc5c8c,review-f778efc9b041eb43,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.14616581797599792
review-5377c60609e6da5b,review-5377c60609e6da5b,review-573127865357f88a,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.18632368743419647
review-f50f53a543208b94,review-f50f53a543208b94,review-f68968ff35ec4bea,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.19292967021465302
review-c964452f27eede18,review-c964452f27eede18,review-b31a9429969a49d0,insufficient_context,ordinary_notice_or_conversation_possible,0,0.30128300189971924
review-b4a140a400dd0bd4,review-b4a140a400dd0bd4,review-2953de0d9a6a0ef3,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1191709116101265
review-de8af5907865c3e9,review-de8af5907865c3e9,review-01daae558c8120c5,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.16913212835788727
review-bcc4f27e08342914,review-bcc4f27e08342914,review-bf5160f31d278f7b,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.16968195140361786
review-8858113ca39c4a08,review-8858113ca39c4a08,review-a5e01613dff9b90c,risky_request_visible,promotion_without_clear_scam_request,0,0.10007835179567337
review-40e531a989b5b832,review-40e531a989b5b832,review-1c32fedd4b32dd06,risky_request_visible,promotion_without_clear_scam_request,0,0.14144232869148254
review-f7a215d9e903b41d,review-f7a215d9e903b41d,review-55839cdd8c1c65c6,promotion_without_clear_scam_request,promotion_without_clear_scam_request,1,0.16415192186832428
review-4a5f226471e5edaf,review-4a5f226471e5edaf,review-d6877eb437269499,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1433800905942917
review-7aed3e349c71aa1c,review-7aed3e349c71aa1c,review-8c3afec16f00c8ea,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1659006029367447
review-15f5cb8ca60e63e7,review-15f5cb8ca60e63e7,review-5f5dd240c73902fa,risky_request_visible,promotion_without_clear_scam_request,0,0.13311359286308289
review-75f8aea8c65c0cb2,review-75f8aea8c65c0cb2,review-db2e98df10b7ea70,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.09343647956848145
review-f0b50460d98d4502,review-f0b50460d98d4502,review-256d1c0f349382b5,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.11608777195215225
review-2dcd34cb42910200,review-2dcd34cb42910200,review-5b38287421b21063,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.15987466275691986
review-143e404949a72860,review-143e404949a72860,review-2d80e47aaaa42543,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1294715851545334
review-c7acc1ae1037b569,review-c7acc1ae1037b569,review-f9bfaa738fc7db78,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.09316191077232361
review-c1f9d74965cc6d56,review-c1f9d74965cc6d56,review-7cbff1d715e4b2f0,risky_request_visible,promotion_without_clear_scam_request,0,0.12511557340621948
review-833c087c0ab5f903,review-833c087c0ab5f903,review-27fee91252ef3d87,insufficient_context,ordinary_notice_or_conversation_possible,0,0.3866358697414398
review-a55cc489390f4d15,review-a55cc489390f4d15,review-e8170ecaf09d95c1,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1729581207036972
review-cfc80bc1541032df,review-cfc80bc1541032df,review-21e2a2729d0906e0,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.09539259225130081
review-87280a48b9739e82,review-87280a48b9739e82,review-383246308e1d9552,risky_request_visible,risky_request_visible,1,0.11520460247993469
review-bbe916c0a5f13c5a,review-bbe916c0a5f13c5a,review-344682f2618ba8f9,risky_request_visible,promotion_without_clear_scam_request,0,0.09922713786363602
review-5a49e43857a6f8f0,review-5a49e43857a6f8f0,review-6c7372dc6724ef49,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1700052171945572
review-48f7182245c9e551,review-48f7182245c9e551,review-7977c3d1276873c7,ordinary_notice_or_conversation_possible,ordinary_notice_or_conversation_possible,1,0.24507465958595276
review-6c9e3e62bbb95763,review-6c9e3e62bbb95763,review-bc5e0069bbad7d67,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.39873024821281433
review-0e9363ce9bcb57c2,review-0e9363ce9bcb57c2,review-ff1ff6c1bdbeaee2,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.1643788069486618
review-b75a5cafe4180fd6,review-b75a5cafe4180fd6,review-add578e780e46b65,ordinary_notice_or_conversation_possible,promotion_without_clear_scam_request,0,0.17830216884613037
review-270f57eba07d36f4,review-270f57eba07d36f4,review-1cb842404c1056c4,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.13547664880752563
review-3c542b2889f7ee41,review-3c542b2889f7ee41,review-50eaadd4d0f17b7f,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.09926959872245789
review-c279584d5ab81989,review-c279584d5ab81989,review-d1b2ce556231d1b9,risky_request_visible,promotion_without_clear_scam_request,0,0.09465489536523819
review-5cdeba2735509611,review-5cdeba2735509611,review-eb5bbbe4e99a6f72,risky_request_visible,ordinary_notice_or_conversation_possible,0,0.10690729320049286
